host,host_label,metric,geometry,geometry_level,n_instances,wins,ties,losses,median_a12_ivf
IVFNSGAII,IVF/NSGA-II,HV,concave,geometry_primary,27,4,21,2,0.5655555555555556
IVFNSGAIII,IVF/NSGA-III,HV,concave,geometry_primary,27,13,13,1,0.668888888888889
IVFSPEA2,IVF/SPEA2,HV,concave,geometry_primary,27,21,5,1,0.8566666666666668
IVFNSGAII,IVF/NSGA-II,HV,convex,geometry_primary,8,1,7,0,0.5966666666666667
IVFNSGAIII,IVF/NSGA-III,HV,convex,geometry_primary,8,2,5,1,0.591111111111111
IVFSPEA2,IVF/SPEA2,HV,convex,geometry_primary,8,5,3,0,0.7205555555555556
IVFNSGAII,IVF/NSGA-II,HV,degenerate,geometry_primary,4,0,4,0,0.5438888888888889
IVFNSGAIII,IVF/NSGA-III,HV,degenerate,geometry_primary,4,0,4,0,0.5077777777777779
IVFSPEA2,IVF/SPEA2,HV,degenerate,geometry_primary,4,3,1,0,0.7861111111111112
IVFNSGAII,IVF/NSGA-II,HV,disconnected,geometry_primary,7,0,6,1,0.4011111111111111
IVFNSGAIII,IVF/NSGA-III,HV,disconnected,geometry_primary,7,3,4,0,0.4988888888888888
IVFSPEA2,IVF/SPEA2,HV,disconnected,geometry_primary,7,4,1,2,0.7022222222222223
IVFNSGAII,IVF/NSGA-II,HV,linear,geometry_primary,5,0,5,0,0.51
IVFNSGAIII,IVF/NSGA-III,HV,linear,geometry_primary,5,3,2,0,0.6833333333333333
IVFSPEA2,IVF/SPEA2,HV,linear,geometry_primary,5,4,0,1,0.9088888888888887
IVFNSGAII,IVF/NSGA-II,IGD,concave,geometry_primary,27,0,25,2,0.5433333333333334
IVFNSGAIII,IVF/NSGA-III,IGD,concave,geometry_primary,27,14,13,0,0.6877777777777778
IVFSPEA2,IVF/SPEA2,IGD,concave,geometry_primary,27,20,6,1,0.7911111111111112
IVFNSGAII,IVF/NSGA-II,IGD,convex,geometry_primary,8,1,7,0,0.47
IVFNSGAIII,IVF/NSGA-III,IGD,convex,geometry_primary,8,3,5,0,0.5705555555555556
IVFSPEA2,IVF/SPEA2,IGD,convex,geometry_primary,8,5,3,0,0.6977777777777778
IVFNSGAII,IVF/NSGA-II,IGD,degenerate,geometry_primary,4,0,4,0,0.44388888888888894
IVFNSGAIII,IVF/NSGA-III,IGD,degenerate,geometry_primary,4,0,4,0,0.515
IVFSPEA2,IVF/SPEA2,IGD,degenerate,geometry_primary,4,3,1,0,0.7861111111111112
IVFNSGAII,IVF/NSGA-II,IGD,disconnected,geometry_primary,7,0,7,0,0.3633333333333333
IVFNSGAIII,IVF/NSGA-III,IGD,disconnected,geometry_primary,7,2,5,0,0.5655555555555555
IVFSPEA2,IVF/SPEA2,IGD,disconnected,geometry_primary,7,2,3,2,0.6244444444444446
IVFNSGAII,IVF/NSGA-II,IGD,linear,geometry_primary,5,0,5,0,0.43333333333333335
IVFNSGAIII,IVF/NSGA-III,IGD,linear,geometry_primary,5,3,2,0,0.6877777777777778
IVFSPEA2,IVF/SPEA2,IGD,linear,geometry_primary,5,3,2,0,0.7277777777777779
IVFNSGAII,IVF/NSGA-II,HV,irregular,geometry_group,11,0,10,1,0.5166666666666667
IVFNSGAIII,IVF/NSGA-III,HV,irregular,geometry_group,11,3,8,0,0.5011111111111112
IVFSPEA2,IVF/SPEA2,HV,irregular,geometry_group,11,7,2,2,0.7022222222222223
IVFNSGAII,IVF/NSGA-II,HV,regular,geometry_group,40,5,33,2,0.5644444444444444
IVFNSGAIII,IVF/NSGA-III,HV,regular,geometry_group,40,18,20,2,0.6761111111111111
IVFSPEA2,IVF/SPEA2,HV,regular,geometry_group,40,30,8,2,0.8500000000000001
IVFNSGAII,IVF/NSGA-II,IGD,irregular,geometry_group,11,0,11,0,0.4266666666666665
IVFNSGAIII,IVF/NSGA-III,IGD,irregular,geometry_group,11,2,9,0,0.528888888888889
IVFSPEA2,IVF/SPEA2,IGD,irregular,geometry_group,11,5,4,2,0.6422222222222222
IVFNSGAII,IVF/NSGA-II,IGD,regular,geometry_group,40,1,37,2,0.5355555555555557
IVFNSGAIII,IVF/NSGA-III,IGD,regular,geometry_group,40,20,20,0,0.6872222222222223
IVFSPEA2,IVF/SPEA2,IGD,regular,geometry_group,40,28,11,1,0.7811111111111111
