problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,n_runs,significant,sign
DTLZ1,2,DTLZ,0.5825978368064713,3.0004889869816864e-05,0.5825539803608724,0.00010534937396688981,0.022098854184150696,0.7266666666666666,30,True,+
DTLZ2,2,DTLZ,0.3472151609066939,1.5420263788090693e-08,0.34721512214504147,8.870457812726329e-08,1.6391277313232422e-07,0.9099999999999999,30,True,+
DTLZ3,2,DTLZ,0.3469028087493429,0.0008933963057503047,0.3458261364180312,0.001487675776816244,0.0061949919909238815,0.7855555555555557,30,True,+
DTLZ4,2,DTLZ,0.34721512854530867,8.934170170338263e-08,0.34721504692718613,3.624639839105992e-06,0.052263347432017326,0.7322222222222223,30,False,=
DTLZ5,2,DTLZ,0.34721516265874225,6.896787863031051e-09,0.34721511004695144,7.769476051411317e-08,4.6566128730773926e-08,0.9466666666666667,30,True,+
DTLZ6,2,DTLZ,0.34721516468515234,8.496088610421282e-09,0.3472151579376018,2.4605370685382155e-08,0.6701805889606476,0.5622222222222223,30,False,=
DTLZ7,2,DTLZ,0.24281188004633258,2.0815003955454436e-05,0.2428062095304348,2.215900203833554e-05,0.022098854184150696,0.6766666666666665,30,True,+
MaF1,2,MaF,0.5826020504464389,4.139712350692548e-09,0.5826020289337592,6.362896420863962e-08,5.587935447692871e-09,0.9900000000000001,30,True,+
MaF2,2,MaF,0.20756504160064565,8.317306475491559e-07,0.20755925120627466,4.054382098245268e-06,9.90256667137146e-05,0.9355555555555557,30,True,+
MaF3,2,MaF,0.7198232240445563,0.0009233650135606064,0.7184319186490038,0.001852905435672736,1.0609626770019531e-05,0.8411111111111111,30,True,+
MaF4,2,MaF,0.8181862664320283,0.000300689476493865,0.8178338156221818,0.0003914823695656544,0.0002562887966632843,0.8,30,True,+
MaF5,2,MaF,0.34721514867462616,5.0656469019472183e-08,0.34721506410880976,1.2712006626780514e-06,0.03841841779649258,0.7655555555555557,30,False,=
MaF6,2,MaF,0.34721508885451746,1.3060064252279346e-07,0.3472144578757774,1.1597368087534754e-06,3.453157842159271e-05,0.8733333333333334,30,True,+
MaF7,2,MaF,0.24281809774020935,2.3774566134560082e-05,0.2428082812641091,1.9147580330530767e-05,0.00993151031434536,0.6822222222222223,30,True,+
WFG1,2,WFG,0.668511012902681,0.010788743449186233,0.6711042087835369,0.009238952846305937,0.15794767439365387,0.4133333333333333,30,False,=
WFG2,2,WFG,0.6326755177724677,0.00027010879959643574,0.6322853062873091,0.00038041874864302994,3.1478703022003174e-07,0.8922222222222221,30,True,+
WFG3,2,WFG,0.5823501329220049,0.00021149357569960614,0.5822540313857585,0.0002526171274728206,0.01453801617026329,0.6833333333333333,30,True,+
WFG4,2,WFG,0.3472073285507975,4.322742589896178e-05,0.34721352099766256,4.224454604018213e-06,0.011303061619400978,0.27777777777777773,30,True,-
WFG5,2,WFG,0.3133736311166976,7.470526211916795e-06,0.31337735246057363,2.018873652515074e-05,0.7000329215079546,0.42999999999999994,30,False,=
WFG6,2,WFG,0.30873409666013163,0.013531718077767485,0.30017169248964864,0.009272851395031978,0.004338232800364494,0.6877777777777777,30,True,+
WFG7,2,WFG,0.347171516140177,1.9956644400964674e-05,0.34717852470784183,1.6596191403317473e-05,0.049710121005773544,0.35,30,False,=
WFG8,2,WFG,0.29033939686100707,0.0006249827930135954,0.2907156034283732,0.0012162723527313624,0.049710121005773544,0.35555555555555557,30,False,=
WFG9,2,WFG,0.3434266984844626,0.001350567598950303,0.3435935545864371,0.001405470887243132,0.09194962680339813,0.38333333333333336,30,False,=
