problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,n_runs,significant,sign
DTLZ1,2,DTLZ,0.5825075279287365,2.5406384756454514e-05,0.5824332770902345,7.231630398452094e-05,1.862645149230957e-09,0.9877777777777778,30,True,+
DTLZ2,2,DTLZ,0.3473731143598648,6.358988173132962e-05,0.3472869233341278,0.00014216554640245072,1.218356192111969e-05,0.8222222222222222,30,True,+
DTLZ3,2,DTLZ,0.3475271014637228,0.00013894600232905452,0.3464088377360188,0.0014607806186834327,3.725290298461914e-09,0.9877777777777778,30,True,+
DTLZ4,2,DTLZ,0.34741705597440153,8.851253607344844e-05,0.3472937181025247,0.00010519345510129341,0.0023674946278333664,0.8266666666666665,30,True,+
DTLZ5,2,DTLZ,0.3473985609267851,8.66150190001469e-05,0.34726420887570475,0.00017050740268198528,1.0244548320770264e-07,0.8855555555555557,30,True,+
DTLZ6,2,DTLZ,0.34758608157441545,4.6753568173629745e-05,0.34756078173439964,6.741624550904435e-05,0.018529480323195457,0.6755555555555556,30,True,+
DTLZ7,2,DTLZ,0.24290800197562215,2.1370096863621013e-05,0.24288223949056786,2.834880530150352e-05,4.4075772166252136e-05,0.8066666666666668,30,True,+
MaF1,2,MaF,0.5822475419930699,0.00012129932693416556,0.5820955075661011,7.861405990783332e-05,2.348795533180237e-06,0.9088888888888889,30,True,+
MaF2,2,MaF,0.20737474981017334,4.305628718523358e-05,0.20724713342134826,5.93750327910203e-05,1.862645149230957e-08,0.9722222222222221,30,True,+
MaF3,2,MaF,0.7204791814116209,0.00019837187862725703,0.7189580214454192,0.0014649799207323566,1.862645149230957e-09,0.9977777777777777,30,True,+
MaF4,2,MaF,0.8191124153181568,8.545565155859691e-05,0.8186682386074745,0.0004350510266180052,1.862645149230957e-09,0.968888888888889,30,True,+
MaF5,2,MaF,0.3473019842221761,0.00018193518086079274,0.34721443164964383,0.00019285735877544452,0.46454504504799843,0.6322222222222222,30,False,=
MaF6,2,MaF,0.3475585109751653,6.764741582510059e-05,0.34752241097393904,4.324915091974413e-05,0.2988441474735737,0.6288888888888889,30,False,=
MaF7,2,MaF,0.24290970125746358,2.858817038800532e-05,0.2428900709311953,3.708626365936385e-05,0.01453801617026329,0.7022222222222223,30,True,+
