problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,n_runs,significant,sign
DTLZ1,2,DTLZ,0.0018254769990161,9.591994021574887e-06,0.0018341394130401,1.3661850514100002e-05,0.0061949919909238815,0.27222222222222225,30,True,+
DTLZ2,2,DTLZ,0.004120473202951299,4.767752744112581e-05,0.0041829988861775,6.749145027632516e-05,7.910653948783875e-05,0.1866666666666667,30,True,+
DTLZ3,2,DTLZ,0.0040556137085074,4.1793644532125626e-05,0.00427552751026795,0.00040838454607809976,1.6391277313232422e-07,0.03888888888888893,30,True,+
DTLZ4,2,DTLZ,0.0041117571637087,5.459543180797496e-05,0.00416314209905075,7.279868774465008e-05,0.00577649287879467,0.24333333333333335,30,True,+
DTLZ5,2,DTLZ,0.0041219535836446,5.1250001571250155e-05,0.0041768697390951,5.72478137627749e-05,1.6838312149047852e-06,0.14111111111111113,30,True,+
DTLZ6,2,DTLZ,0.00405428253714855,4.878409004682553e-05,0.0040860951603893005,4.426935155549955e-05,9.90256667137146e-05,0.20888888888888885,30,True,+
DTLZ7,2,DTLZ,0.0046966946645048,9.535996950479995e-05,0.004803956468306151,0.00014945128707752504,0.0037444327026605606,0.26111111111111107,30,True,+
MaF1,2,MaF,0.0037341794620296496,4.490292782472491e-05,0.0038020916751931,4.3798889479550185e-05,1.8244609236717224e-05,0.11444444444444445,30,True,+
MaF2,2,MaF,0.0021138160183303,2.564187279835038e-05,0.00218707513936605,4.0503472002299985e-05,4.6566128730773926e-08,0.043333333333333356,30,True,+
MaF3,2,MaF,0.00376268190561935,7.041903011872517e-05,0.0042542116415806505,0.0006271320466351253,1.862645149230957e-09,0.006666666666666643,30,True,+
MaF4,2,MaF,0.012463901403492749,0.00016338895187810107,0.0126860976393511,0.00022799010967474928,1.991167664527893e-06,0.15,30,True,+
MaF5,2,MaF,0.012673778650650901,0.00028512811952602357,0.0128406836768417,0.00029425132141297494,0.6120056137442589,0.3711111111111111,30,False,=
MaF6,2,MaF,0.00405346876945575,2.957541025772406e-05,0.0040861027979633,4.7030439379075646e-05,1.8244609236717224e-05,0.20111111111111116,30,True,+
MaF7,2,MaF,0.00471488821041755,0.00011240378609490061,0.004769238737345201,0.00016965811136354994,0.11907656863331795,0.37444444444444447,30,False,=
WFG1,2,WFG,0.0219188224986393,0.01172230462569675,0.0336688824301746,0.0319883930419162,0.008142979815602303,0.32999999999999996,30,True,+
WFG2,2,WFG,0.01133241178016195,0.0005452758666237498,0.0110770246152068,0.00024538422459847477,0.00013739429414272308,0.7488888888888889,30,True,-
WFG3,2,WFG,0.0121383985270128,0.0004905433251817509,0.01208377631367365,0.0002527061521263238,0.07672121562063694,0.5933333333333333,30,False,=
WFG4,2,WFG,0.012604425067995001,0.0001583828135168757,0.01289719788212665,0.00025311041291204914,6.910413503646851e-07,0.07888888888888891,30,True,+
WFG5,2,WFG,0.06344167115938185,0.00010556857669077879,0.0636784192588356,0.0001186106878508092,1.862645149230957e-09,0.05222222222222221,30,True,+
WFG6,2,WFG,0.08586024456147345,0.03798425882030257,0.0732655499478575,0.032040950590631036,0.21293285302817822,0.5944444444444446,30,False,=
WFG7,2,WFG,0.0131799309043283,0.0002516238943521508,0.013774927595936199,0.0004926761521466261,1.1920928955078125e-06,0.07777777777777774,30,True,+
WFG8,2,WFG,0.10745045166493741,0.002883302674173971,0.10736577334626675,0.002040603938002067,0.583757072687149,0.5166666666666667,30,False,=
WFG9,2,WFG,0.01743524600781695,0.0036348487621367526,0.01584092420332505,0.0011898332231124742,0.006639536470174789,0.6644444444444443,30,True,-
ZDT1,2,ZDT,0.00390163978502325,8.979646778152495e-05,0.00396019836597625,0.00013451011684990043,0.001718590036034584,0.2744444444444445,30,True,+
ZDT2,2,ZDT,0.00388786119562895,6.677859467552495e-05,0.0039044513563738503,5.8952108668349195e-05,0.022098854184150696,0.3366666666666667,30,True,+
ZDT3,2,ZDT,0.00484181907734925,0.00010960613027050092,0.0048889868398704,0.00015443750318487517,0.023410143330693245,0.3344444444444445,30,True,+
ZDT4,2,ZDT,0.0038111393307552997,3.865289305397465e-05,0.00385593508970945,6.118126370655052e-05,9.98377799987793e-07,0.1944444444444444,30,True,+
ZDT6,2,ZDT,0.0030623193129138,2.808560392065021e-05,0.0030938583282635,3.091119821847484e-05,3.7904828786849976e-06,0.1711111111111111,30,True,+
DTLZ1,3,DTLZ,0.02010024719712675,0.00013122899682570244,0.020105028569030903,0.0002098871344956496,0.06989291124045849,0.4166666666666667,30,False,=
DTLZ2,3,DTLZ,0.05379498603267315,0.0006726349749898788,0.0542309083477827,0.0007035749774966515,0.0006084088236093521,0.2744444444444445,30,True,+
DTLZ3,3,DTLZ,0.053060627028447105,0.0008344069315147501,0.053240292234135095,0.0005149642422858508,0.20540969260036945,0.38888888888888895,30,False,=
DTLZ4,3,DTLZ,0.054834363480064055,0.486827144558398,0.05530084166652205,0.48631694297712996,0.5425279382616282,0.38888888888888895,30,False,=
DTLZ5,3,DTLZ,0.0042656421852896,0.00015809237364169948,0.0044038186260957,0.00015099195494692498,5.144625902175903e-06,0.16444444444444445,30,True,+
DTLZ6,3,DTLZ,0.0040587931205209,4.6094834164775444e-05,0.004079709150640751,2.8761602003699906e-05,0.052263347432017326,0.3577777777777778,30,False,=
DTLZ7,3,DTLZ,0.059903089268315446,0.0013736579286222003,0.06055492551400765,0.001627606296010449,0.140283040702343,0.37555555555555553,30,False,=
MaF1,3,MaF,0.04104575465103525,0.0004057842071894524,0.041671945721402204,0.0004992152776401165,1.862645149230957e-08,0.1,30,True,+
MaF2,3,MaF,0.0310074924478255,0.001133130876684374,0.03235104573493725,0.0017187855026789475,0.00012333691120147705,0.22222222222222227,30,True,+
MaF3,3,MaF,0.0325309925713462,0.0004968321810605511,0.0333739843434229,0.0008568097723624518,0.00013739429414272308,0.1844444444444445,30,True,+
MaF4,3,MaF,0.23909898398530705,0.0036522736825806146,0.2426029291772718,0.0031324521654752246,0.001038169488310814,0.2155555555555555,30,True,+
MaF5,3,MaF,0.2464799165373171,1.249652392885249,0.24717087069803695,1.246798497472359,1.0,0.42444444444444446,30,False,=
MaF6,3,MaF,0.0040514327306338,3.244596325929945e-05,0.00408134790718135,3.740168736237476e-05,0.0002562887966632843,0.23111111111111113,30,True,+
MaF7,3,MaF,0.0597139683443492,0.0015922461456561732,0.0598489276376376,0.0015672509428213063,0.7151329666376114,0.46888888888888886,30,False,=
WFG1,3,WFG,0.15367039613017394,0.005119333893190997,0.1538335386109176,0.0036932740306745704,0.6263462882488966,0.43777777777777777,30,False,=
WFG2,3,WFG,0.18258502481226885,0.0074213243534764495,0.1729932126028884,0.006454160214150684,8.009374141693115e-08,0.9122222222222223,30,True,-
WFG3,3,WFG,0.0860952342905957,0.007261060932783642,0.09535317494291105,0.008508327503799679,0.00016989745199680328,0.19666666666666663,30,True,+
WFG4,3,WFG,0.21218095522410185,0.00316069550520362,0.2151413485085322,0.002882594662613397,0.00020912662148475647,0.1811111111111111,30,True,+
WFG5,3,WFG,0.22064758087647013,0.0018901848063173354,0.22277862221648798,0.001983273926742024,1.3966113328933716e-05,0.1444444444444444,30,True,+
WFG6,3,WFG,0.24017439436368215,0.019872825432284053,0.23814308169084542,0.013153125309328634,0.685047073289752,0.5111111111111111,30,False,=
WFG7,3,WFG,0.2141075331232007,0.004775823468819329,0.21705345999044912,0.0038475739758382366,0.0006084088236093521,0.2422222222222222,30,True,+
WFG8,3,WFG,0.2934937899751331,0.005627200449204228,0.29472982090855143,0.006959211635249096,0.17059839516878128,0.3811111111111111,30,False,=
WFG9,3,WFG,0.21016766984276392,0.004022557714915165,0.21715441438013305,0.005155394641952887,3.049522638320923e-05,0.11000000000000003,30,True,+
