Problem,N_IGD_IVF,N_IGD_SPEA2,N_HV_IVF,N_HV_SPEA2,IGD_Med_IVF,IGD_Med_SPEA2,IGD_p,IGD_sign,HV_Med_IVF,HV_Med_SPEA2,HV_p,HV_sign
DTLZ1,60,60,60,60,0.00182738765984868,0.00183413941304013,0.00361000856289653,+,0.58242035973741,0.582430295161232,0.661196846842035,=
DTLZ2,60,60,60,60,0.00413865074596261,0.00418100382446201,9.32129924400626e-05,+,0.347373082143319,0.347257313026262,3.9198504792365e-07,+
DTLZ3,60,60,60,60,0.00419410233006855,0.00429391870257455,0.0350891160940479,+,0.346565539548847,0.346247886349372,0.10540314683732,=
DTLZ4,60,60,60,60,0.00415759453941318,0.00416475354508693,0.638531373097433,=,0.347337871071217,0.34728570309011,0.33285768918733,=
DTLZ5,60,60,60,60,0.00414323241257015,0.00417406272269655,0.00470756156334804,+,0.347366860118603,0.347261389503511,5.59847996398163e-07,+
DTLZ6,60,60,60,60,0.00406909722979235,0.00409312465904805,0.000120735487122472,+,0.347582318108855,0.347558348054057,0.00590679415380579,+
DTLZ7,60,60,60,60,0.00478168912406852,0.00477429662951361,1,=,0.242887042559162,0.242882623030497,0.382173606821486,=
MaF1,60,60,60,60,0.00377244785007105,0.00380393153961058,4.00727387724767e-05,+,0.58215352690296,0.582084385979976,2.40642283812021e-06,+
MaF2,60,60,60,60,0.00214567491968905,0.00218904446266256,2.14968492390122e-09,+,0.207312052395679,0.20724431222831,2.13602120341985e-12,+
MaF3,60,60,60,60,0.00439752873553215,0.0042021684684321,0.513462648292968,=,0.718597118156034,0.719022062483367,0.516851144143313,=
MaF4,60,60,60,60,0.0126790048512866,0.0126650002713609,0.972784528333556,=,0.81854380276897,0.818719043815583,0.0216599066222574,-
MaF5,60,60,60,60,0.0129455125508616,0.0128537284724883,0.540890841621895,=,0.347168686754611,0.347183336676478,0.976970255321976,=
MaF6,60,60,60,60,0.00406662649486842,0.00408918759626864,7.01301179789496e-05,+,0.347551258424793,0.347526209181178,0.0818724049744883,=
MaF7,60,60,60,60,0.00475203644383314,0.00478399101712744,0.483494449930196,=,0.24289360021958,0.242890766555705,0.561931754355609,=
WFG1,60,60,60,60,0.0121227685539132,0.0292511404250796,3.55657097498478e-21,+,0.696540872813181,0.685001537289541,3.55657097498478e-21,+
WFG2,60,60,60,60,0.0110916879885409,0.0110770246152069,0.561931754355609,=,0.632911360911098,0.633176855983451,0.000126009155974319,-
WFG3,60,60,60,60,0.0119958283619141,0.0120363614340972,0.276113073452499,=,0.581609254148599,0.581721191971238,0.354246066395712,=
WFG4,60,60,60,60,0.0127605067959049,0.0128909247586314,0.00125845760238313,+,0.347257679502447,0.347109730385007,1.05184167899878e-05,+
WFG5,60,60,60,60,0.0635354490508569,0.0636528201456833,7.54271194193855e-07,+,0.313531152027451,0.313452315289801,5.98408157930379e-06,+
WFG6,60,60,60,60,0.0846452249382002,0.0763566150933067,0.134006928540557,=,0.301918885114238,0.306487003426341,0.135374965975962,=
WFG7,60,60,60,60,0.0133910113937502,0.0137131375253037,2.58357492443714e-07,+,0.346583248278565,0.346220154235103,2.25362693229604e-10,+
WFG8,60,60,60,60,0.107414153404757,0.107477321109394,0.638531373097433,=,0.29001709383956,0.289984104929018,0.691904211065549,=
WFG9,60,60,60,60,0.0162375602715042,0.0159188670121477,0.432646195495118,=,0.342645002216377,0.343014686115911,0.188582498793431,=
ZDT1,60,60,60,60,0.00390907554061647,0.00397247705086562,0.00020028194161244,+,0.7203871653022,0.720291143941688,8.87244051191784e-06,+
ZDT2,60,60,60,60,0.0039041432444545,0.00391321640832505,0.365258708405036,=,0.445012476159373,0.444957588428942,0.000867645119985308,+
ZDT3,60,60,60,60,0.00485351410450842,0.00492250863212335,0.018571886285348,+,0.599640623981025,0.59961675227616,0.0139329553125102,+
ZDT4,60,60,60,60,0.00384375221312942,0.00386323700889612,0.0219616299875818,+,0.720389012083694,0.720377379072558,0.21256191476941,=
ZDT6,60,60,60,60,0.00307816814769582,0.00309512631937598,6.00576029680489e-05,+,0.388922397812278,0.388905803494204,2.65688083148292e-07,+
