Problema,D,IVFSPEA2_median,IVFSPEA2_iqr,IVFSPEA2_formatted,IVFSPEA2_indicator,SPEA2_median,SPEA2_iqr,SPEA2_formatted,SPEA2_indicator,MFOSPEA2_median,MFOSPEA2_iqr,MFOSPEA2_formatted,MFOSPEA2_indicator,SPEA2SDE_median,SPEA2SDE_iqr,SPEA2SDE_formatted,SPEA2SDE_indicator,NSGAII_median,NSGAII_iqr,NSGAII_formatted,NSGAII_indicator,NSGAIII_median,NSGAIII_iqr,NSGAIII_formatted,NSGAIII_indicator,MOEAD_median,MOEAD_iqr,MOEAD_formatted,MOEAD_indicator,AGEMOEAII_median,AGEMOEAII_iqr,AGEMOEAII_formatted,AGEMOEAII_indicator,ARMOEA_median,ARMOEA_iqr,ARMOEA_formatted,ARMOEA_indicator,best_algo
ZDT1,30,0.7204180977013259,0.00013199170111644065,7.20(0.00)e-1,,0.7202911439416875,0.00018733421435523923,7.20(0.00)e-1,+,0.7203402162667241,0.00012640347547177022,7.20(0.00)e-1,+,0.7196721740614795,0.00032163682628982837,7.20(0.00)e-1,+,0.7192610886206454,0.0002733934286179851,7.19(0.00)e-1,+,0.7203053993034976,5.040600283834351e-07,7.20(0.00)e-1,+,0.719396967902519,0.0001114635395847996,7.19(0.00)e-1,+,0.719800487938733,0.00011724669126522702,7.20(0.00)e-1,+,0.72030506777242,4.3125829773948965e-07,7.20(0.00)e-1,+,IVFSPEA2
ZDT2,30,0.4450228696866305,0.00012805568135104695,4.45(0.00)e-1,,0.4449575884289415,0.00010936508205228179,4.45(0.00)e-1,+,0.444965370732054,9.955928917548817e-05,4.45(0.00)e-1,+,0.44464688051776846,0.00020980796990904826,4.45(0.00)e-1,+,0.44398099978794603,0.0003247044930791976,4.44(0.00)e-1,+,0.44503375667753153,2.4453545743874372e-08,4.45(0.00)e-1,=,0.4444664868603505,0.0002491220352253132,4.44(0.00)e-1,+,0.4443019676399605,0.00017999153961478775,4.44(0.00)e-1,+,0.4450335624807795,2.2991943027239614e-07,4.45(0.00)e-1,=,NSGAIII
ZDT3,30,0.5996815797381575,7.530640812691836e-05,6.00(0.00)e-1,,0.5996167522761605,0.00011702229964394295,6.00(0.00)e-1,+,0.5996357941567085,6.225460785969084e-05,6.00(0.00)e-1,+,0.5994605707256695,0.0001230013797097751,5.99(0.00)e-1,+,0.5994040693466356,0.00011387481104319086,5.99(0.00)e-1,+,0.59877534265392,0.00013941855898624844,5.99(0.00)e-1,+,0.596626200149049,0.001139761036355047,5.97(0.01)e-1,+,0.599464434652949,2.6893758735324624e-05,5.99(0.00)e-1,+,0.598676817908699,8.42806092005155e-06,5.99(0.00)e-1,+,IVFSPEA2
ZDT4,10,0.7205875032080515,3.8968606193234834e-05,7.21(0.00)e-1,,0.7203773790725575,0.00022153478834130436,7.20(0.00)e-1,+,0.7204131133835965,0.00018897849616195117,7.20(0.00)e-1,+,0.7194413518086256,0.0004719689123120485,7.19(0.00)e-1,+,0.7196152430791135,0.0002148282413725333,7.20(0.00)e-1,+,0.720130557940304,0.00019625481645724197,7.20(0.00)e-1,+,0.7169074819919105,0.0016428296002329867,7.17(0.02)e-1,+,0.719746402273838,0.00020256057809797667,7.20(0.00)e-1,+,0.7200838457528664,0.00023795488905675732,7.20(0.00)e-1,+,IVFSPEA2
ZDT6,10,0.3889294785963745,1.8294493320747396e-05,3.89(0.00)e-1,,0.388905803494204,2.3518892501517286e-05,3.89(0.00)e-1,+,0.38891242552176897,2.5553988992288446e-05,3.89(0.00)e-1,+,0.388554827217492,7.987623265526267e-05,3.89(0.00)e-1,+,0.3882858225686525,0.0001669537060910442,3.88(0.00)e-1,+,0.388955851251161,1.859278248028673e-08,3.89(0.00)e-1,-,0.3875303103833745,0.0005658597195577486,3.88(0.01)e-1,+,0.38839021625810155,8.95291051832281e-05,3.88(0.00)e-1,+,0.38895557758853,6.114088557662711e-07,3.89(0.00)e-1,-,NSGAIII
DTLZ1,6,0.5825048945305635,3.355646801828094e-05,5.83(0.00)e-1,,0.582430295161232,0.0001272373249823211,5.82(0.00)e-1,+,0.582371193571299,0.00022677484962052574,5.82(0.00)e-1,+,0.5819148219191781,0.0003391225657792818,5.82(0.00)e-1,+,0.581442788844592,0.000340014956916157,5.81(0.00)e-1,+,0.5825633932733585,9.784738260898429e-05,5.83(0.00)e-1,-,0.5825386827518244,0.00012702758476246245,5.83(0.00)e-1,-,0.5820011274946495,0.00021175978759879754,5.82(0.00)e-1,+,0.582517276367137,0.0001606199976299516,5.83(0.00)e-1,=,NSGAIII
DTLZ2,11,0.347386243868131,9.128810535996568e-05,3.47(0.00)e-1,,0.347257313026262,0.00011875559860802243,3.47(0.00)e-1,+,0.347287792304123,0.00012434622022422515,3.47(0.00)e-1,+,0.3471288808540395,0.0001557666749782416,3.47(0.00)e-1,+,0.34652562204706505,0.0003026892142944937,3.47(0.00)e-1,+,0.347215122185895,5.08015619571367e-08,3.47(0.00)e-1,+,0.3472151439959185,7.600887447223315e-08,3.47(0.00)e-1,+,0.34725125801518,8.875645779121699e-05,3.47(0.00)e-1,+,0.347215018920398,2.2124645870924553e-07,3.47(0.00)e-1,+,IVFSPEA2
DTLZ3,11,0.3475164540207285,0.00010954690880071727,3.48(0.00)e-1,,0.346247886349372,0.001340923753337775,3.46(0.01)e-1,+,0.34629669645216654,0.0009692056859930132,3.46(0.01)e-1,+,0.3461591004404615,0.0008205208134445252,3.46(0.01)e-1,+,0.34579193246433404,0.0012278917433922731,3.46(0.01)e-1,+,0.34580644664029847,0.001725474517244252,3.46(0.02)e-1,+,0.3457534028349505,0.0020840428188662607,3.46(0.02)e-1,+,0.3467720298481255,0.0005465312826097302,3.47(0.01)e-1,+,0.346008794108535,0.0012129994192550675,3.46(0.01)e-1,+,IVFSPEA2
DTLZ4,11,0.3474120381953665,0.00014589188762326177,3.47(0.00)e-1,,0.34728570309011,0.00013257298372071347,3.47(0.00)e-1,+,0.347327167801252,0.0001746923880582285,3.47(0.00)e-1,+,0.347034695507275,0.0002475421471237471,3.47(0.00)e-1,+,0.346556094549068,0.0004389365310055182,3.47(0.00)e-1,+,0.34721486887923403,5.356944209500281e-06,3.47(0.00)e-1,+,0.347215059777027,1.0433667074760677e-07,3.47(0.00)e-1,+,0.347140419138719,0.0007077087865902665,3.47(0.01)e-1,+,0.34715253253878153,0.2562978689686965,3.47(2.56)e-1,+,IVFSPEA2
DTLZ5,11,0.3474107345523,8.84409667827879e-05,3.47(0.00)e-1,,0.347261389503511,0.0001411780751614522,3.47(0.00)e-1,+,0.347277869856345,0.00011689147053045579,3.47(0.00)e-1,+,0.3470778067311885,0.0002494898666074996,3.47(0.00)e-1,+,0.3465766007301615,0.00020750031512223321,3.47(0.00)e-1,+,0.34721510712771797,6.214905801105175e-08,3.47(0.00)e-1,+,0.34721514688661,5.2820553042565166e-08,3.47(0.00)e-1,+,0.34722439146628903,8.479883687823042e-05,3.47(0.00)e-1,+,0.34721502565143847,3.8919552930449797e-07,3.47(0.00)e-1,+,IVFSPEA2
DTLZ6,11,0.347589202190131,4.971713603746375e-05,3.48(0.00)e-1,,0.3475583480540575,5.075270953325273e-05,3.48(0.00)e-1,+,0.34757973077480053,4.340617394477109e-05,3.48(0.00)e-1,+,0.3472357173436965,0.0001900448352409878,3.47(0.00)e-1,+,0.34637548810546703,0.0004158775023659911,3.46(0.00)e-1,+,0.34721515605327347,3.2355438273068415e-08,3.47(0.00)e-1,+,0.3472151586032335,3.891442323933347e-08,3.47(0.00)e-1,+,0.347256948958265,5.1086637568253934e-05,3.47(0.00)e-1,+,0.34721514936408304,4.346633752927431e-08,3.47(0.00)e-1,+,IVFSPEA2
DTLZ7,21,0.24290150645084452,2.0361433616750135e-05,2.43(0.00)e-1,,0.24288262303049651,3.323439119573557e-05,2.43(0.00)e-1,+,0.242888550084989,3.3183318351281965e-05,2.43(0.00)e-1,+,0.242521216831141,0.00018711644774374592,2.43(0.00)e-1,+,0.24270440107521202,6.281596503773801e-05,2.43(0.00)e-1,+,0.2428005586185365,2.4796757705003447e-05,2.43(0.00)e-1,+,0.24188753980897199,0.06606618603442574,2.42(0.66)e-1,+,0.2427684346209155,4.0138604575246095e-05,2.43(0.00)e-1,+,0.242825340911561,1.8843885167818542e-06,2.43(0.00)e-1,+,IVFSPEA2
WFG1,11,0.687005351019738,0.005105963683066039,6.87(0.05)e-1,,0.6850015372895415,0.006254001541755039,6.85(0.06)e-1,+,0.6569789864539295,0.00951756000588444,6.57(0.10)e-1,+,0.682202917292786,0.007478300474926702,6.82(0.07)e-1,+,0.6926299013107255,0.0024786754379717557,6.93(0.02)e-1,-,0.6684802761130155,0.008746192875269454,6.68(0.09)e-1,+,0.6793117772496571,0.004691817240128238,6.79(0.05)e-1,+,0.691509056477362,0.0036725377329610565,6.92(0.04)e-1,-,0.6643786884176335,0.013302292662861759,6.64(0.13)e-1,+,NSGAII
WFG2,11,0.6324550480239455,0.0010085912576808242,6.32(0.01)e-1,,0.633176855983451,0.0004112026989770978,6.33(0.00)e-1,-,0.6332971790372245,0.0003267598667374694,6.33(0.00)e-1,-,0.632776469631818,0.00028715866127027034,6.33(0.00)e-1,-,0.6329053971809016,0.000424216619419715,6.33(0.00)e-1,-,0.6323604580848134,0.0005160300204503088,6.32(0.01)e-1,=,0.6230148947526124,0.0010204168495149268,6.23(0.01)e-1,+,0.632652407467639,0.00038147480868222505,6.33(0.00)e-1,-,0.6323722190029024,0.000317970939449963,6.32(0.00)e-1,=,MFOSPEA2
WFG3,11,0.581026566234493,0.0008795510129502304,5.81(0.01)e-1,,0.5817211919712375,0.00048545128266375137,5.82(0.00)e-1,-,0.5818045712464085,0.0003258022026643159,5.82(0.00)e-1,-,0.581077714412612,0.0005319134735696229,5.81(0.01)e-1,=,0.5805424781775995,0.0004905939023078787,5.81(0.00)e-1,+,0.5822546542958495,0.0002756517514608259,5.82(0.00)e-1,-,0.580380803429971,0.000435337434979699,5.80(0.00)e-1,+,0.5813140177259819,0.0005757153216544575,5.81(0.01)e-1,-,0.5821460779345005,0.0002620642118690286,5.82(0.00)e-1,-,NSGAIII
WFG4,11,0.347297278635409,0.00013391988018751633,3.47(0.00)e-1,,0.3471097303850065,0.0001983630854527907,3.47(0.00)e-1,+,0.3470696866602005,0.00020484698509271038,3.47(0.00)e-1,+,0.3470067696328305,0.00020582900188226283,3.47(0.00)e-1,+,0.3465030671146015,0.0002575356381577243,3.47(0.00)e-1,+,0.347212739945144,7.884001661739859e-06,3.47(0.00)e-1,+,0.3451106327288975,0.0005197162416497592,3.45(0.01)e-1,+,0.347245567081494,8.50297334282768e-05,3.47(0.00)e-1,+,0.34719319642473845,2.4613091201775017e-05,3.47(0.00)e-1,+,IVFSPEA2
