Problema,D,IVFSPEA2_median,IVFSPEA2_iqr,IVFSPEA2_formatted,IVFSPEA2_indicator,SPEA2_median,SPEA2_iqr,SPEA2_formatted,SPEA2_indicator,MFOSPEA2_median,MFOSPEA2_iqr,MFOSPEA2_formatted,MFOSPEA2_indicator,SPEA2SDE_median,SPEA2SDE_iqr,SPEA2SDE_formatted,SPEA2SDE_indicator,NSGAII_median,NSGAII_iqr,NSGAII_formatted,NSGAII_indicator,NSGAIII_median,NSGAIII_iqr,NSGAIII_formatted,NSGAIII_indicator,MOEAD_median,MOEAD_iqr,MOEAD_formatted,MOEAD_indicator,AGEMOEAII_median,AGEMOEAII_iqr,AGEMOEAII_formatted,AGEMOEAII_indicator,ARMOEA_median,ARMOEA_iqr,ARMOEA_formatted,ARMOEA_indicator,best_algo
DTLZ1,7,0.02008858482020785,0.00019732203199409812,2.01(0.02)e-2,,0.020106094205993748,0.00016918237626587646,2.01(0.02)e-2,=,0.0201623250418378,0.0001686739553276237,2.02(0.02)e-2,+,0.02056576133391105,0.00032810142921605237,2.06(0.03)e-2,+,0.02677278492018135,0.0014825369471722742,2.68(0.15)e-2,+,0.0205633411662313,1.2900850578423384e-05,2.06(0.00)e-2,+,0.02056135012393715,9.80045403712812e-06,2.06(0.00)e-2,+,0.02004388482661435,0.00014697298754702548,2.00(0.01)e-2,=,0.0205611568669744,1.4126775285127485e-05,2.06(0.00)e-2,+,AGEMOEAII
DTLZ2,12,0.053725462043217945,0.000697639334534747,5.37(0.07)e-2,,0.05424000057341885,0.0007208910619057457,5.42(0.07)e-2,+,0.05420355921561335,0.0008392824758844536,5.42(0.08)e-2,+,0.07679059798377649,0.002990387075760728,7.68(0.30)e-2,+,0.06870394238123775,0.0032437317469237448,6.87(0.32)e-2,+,0.054464163201420196,6.446463174450412e-07,5.45(0.00)e-2,+,0.0544638767893206,1.924585788723454e-07,5.45(0.00)e-2,+,0.05257087289111635,0.000971997595233906,5.26(0.10)e-2,-,0.054464906480820655,2.291808644548643e-06,5.45(0.00)e-2,+,AGEMOEAII
DTLZ3,12,0.05301341506056595,0.000752987559827327,5.30(0.08)e-2,,0.0532882754632287,0.0005943586748287516,5.33(0.06)e-2,+,0.0534846353146662,0.0007737415198017794,5.35(0.08)e-2,+,0.0755317553805092,0.0033678651390073727,7.55(0.34)e-2,+,0.0691456099017772,0.004464724468609099,6.91(0.45)e-2,+,0.054626032638007,0.0002546797799173259,5.46(0.03)e-2,+,0.05461472552025225,0.00021257307011780108,5.46(0.02)e-2,+,0.05284086630214235,0.0005136506541664268,5.28(0.05)e-2,-,0.05464598043837785,0.0002948922887611796,5.46(0.03)e-2,+,AGEMOEAII
DTLZ4,12,0.05447963984648435,0.48696645668092187,5.45(48.70)e-2,,0.0549836185510664,0.4862905805951445,5.50(48.63)e-2,+,0.054885707898693,0.001009686197041476,5.49(0.10)e-2,=,0.07898530987505226,0.006557780932811716,7.90(0.66)e-2,+,0.06774802901340615,0.0022970841664905067,6.77(0.23)e-2,=,0.0544676524331259,3.440262803894312e-05,5.45(0.00)e-2,=,0.0544639212632251,0.48707108924656106,5.45(48.71)e-2,-,0.0556734350683976,0.0039484530317987765,5.57(0.39)e-2,=,0.05448373690836855,0.4863849318484455,5.45(48.64)e-2,+,MOEAD
DTLZ5,12,0.0042788651243643,0.00012609383323582482,4.28(0.13)e-3,,0.0044071630883601495,0.00014412795123009987,4.41(0.14)e-3,+,0.0044039978933984,0.00013003939069029975,4.40(0.13)e-3,+,0.0098391182050315,0.0015709061674857496,9.84(1.57)e-3,+,0.00580258983838335,0.0003551008505202997,5.80(0.36)e-3,+,0.01285259187223145,0.0021113059308248243,1.29(0.21)e-2,+,0.033907354223825,1.305839281065535e-05,3.39(0.00)e-2,+,0.01122186776561145,0.00585043245768295,1.12(0.59)e-2,+,0.0053722941377020005,0.0001548484835360497,5.37(0.15)e-3,+,IVFSPEA2
DTLZ6,12,0.0040470176425589505,4.909586908642509e-05,4.05(0.05)e-3,,0.004082885816618,3.402419473542539e-05,4.08(0.03)e-3,+,0.0040842405769659,3.902585912822498e-05,4.08(0.04)e-3,+,0.009669884557958551,0.0016289290139510013,9.67(1.63)e-3,+,0.00583142701845205,0.0003875177872765751,5.83(0.39)e-3,+,0.0182143345653526,0.0024576136336932237,1.82(0.25)e-2,+,0.03392486463132155,3.6979176196508257e-06,3.39(0.00)e-2,+,0.0073923086663769,2.7081529049225415e-05,7.39(0.03)e-3,+,0.004998303437221,9.149363649700072e-05,5.00(0.09)e-3,+,IVFSPEA2
DTLZ7,22,0.0599850989668732,0.0013780072910089675,6.00(0.14)e-2,,0.060587852895987296,0.0017829835267960045,6.06(0.18)e-2,+,0.06043389701158275,0.0016982429927665174,6.04(0.17)e-2,=,0.0599274834140841,0.006001065865868113,5.99(0.60)e-2,=,0.07720538834936855,0.005731179128812894,7.72(0.57)e-2,+,0.0759067963323159,0.004958361548830531,7.59(0.50)e-2,+,0.15439650154578,0.002279637109998761,1.54(0.02)e-1,+,0.06064552445009965,0.002095325729195595,6.06(0.21)e-2,+,0.06816482444748845,0.07307228746744797,6.82(7.31)e-2,+,SPEA2SDE
WFG1,12,0.152113497655549,0.004595790830685731,1.52(0.05)e-1,,0.1526768295201435,0.0055318190787989885,1.53(0.06)e-1,=,0.151930965847913,0.004744846278698006,1.52(0.05)e-1,=,0.1745321392125075,0.016998373858593235,1.75(0.17)e-1,+,0.2228702496056215,0.013392364785875271,2.23(0.13)e-1,+,0.1477387999697665,0.0022916791844442286,1.48(0.02)e-1,-,0.2284694302881385,0.007625665947226995,2.28(0.08)e-1,+,0.1488856237110015,0.0030732104146802275,1.49(0.03)e-1,-,0.148545616649745,0.0036525509627532426,1.49(0.04)e-1,-,NSGAIII
WFG2,12,0.18177181864561148,0.007666959306049992,1.82(0.08)e-1,,0.1726091068363835,0.005671924405893508,1.73(0.06)e-1,-,0.1671405289019615,0.006173060351869986,1.67(0.06)e-1,-,0.2056740903809645,0.013948043907996754,2.06(0.14)e-1,+,0.22031547685472702,0.01884857825587674,2.20(0.19)e-1,+,0.16455321262080702,0.0013698384305472766,1.65(0.01)e-1,-,0.24023430242822952,0.00605945353649151,2.40(0.06)e-1,+,0.17321580695620298,0.00473046151663678,1.73(0.05)e-1,-,0.164216936724286,0.0015659830336882674,1.64(0.02)e-1,-,ARMOEA
WFG3,12,0.0874574087787776,0.010388672150986072,8.75(1.04)e-2,,0.09621225998485865,0.009882659259035018,9.62(0.99)e-2,+,0.1053047354048895,0.01104008819762406,1.05(0.11)e-1,+,0.06437331755148795,0.008738482919381257,6.44(0.87)e-2,-,0.08925073729323905,0.015721214200840203,8.93(1.57)e-2,=,0.1052800935034955,0.015650913682592943,1.05(0.16)e-1,+,0.15731126497847098,0.0012257648871572546,1.57(0.01)e-1,+,0.06543111138650855,0.004812329743783456,6.54(0.48)e-2,-,0.1166108850358645,0.011459703230483495,1.17(0.11)e-1,+,SPEA2SDE
