problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,significant,sign
DTLZ1,2,DTLZ,0.0022352825686534,0.00011968635420015004,0.0022238075249268,9.850320569797493e-05,0.9032264724373817,0.5188888888888888,False,=
DTLZ2,2,DTLZ,0.0051180607396139,0.0002775592353506497,0.00516822718336565,0.00031795860478949986,0.46454504504799843,0.42777777777777776,False,=
DTLZ3,2,DTLZ,0.00523553957247465,0.00037209473124802557,0.005257913348330451,0.0003935262801105996,0.6408254038542509,0.44888888888888884,False,=
DTLZ4,2,DTLZ,0.00517018917191145,0.00020897102653317547,0.00514155180241185,0.5530166101993808,0.5698575973510742,0.4799999999999999,False,=
DTLZ5,2,DTLZ,0.00514398641207065,0.00030071868259102467,0.0051231971566383,0.0002871273878902996,0.40449450351297855,0.5655555555555556,False,=
DTLZ6,2,DTLZ,0.00568286809664615,0.0002949742392471255,0.00563582980244875,0.0002517326243183498,0.18396909348666668,0.5877777777777777,False,=
DTLZ7,2,DTLZ,0.0054793273384937,0.00023599152868222437,0.0054129006344733,0.0002158080852853253,0.11417667381465435,0.6666666666666666,False,=
MaF1,2,MaF,0.0046074682749539,0.00021111076642064963,0.0045702973458293505,0.0001480922769678747,0.46454504504799843,0.5666666666666667,False,=
MaF2,2,MaF,0.0027166137320572504,0.00011849498485359995,0.00277200468656315,0.00014972402601155007,0.06056523136794567,0.3766666666666667,False,=
MaF3,2,MaF,0.00487931608340225,0.0005398371326406507,0.0051799120257029,0.0008737357908447495,0.10943205840885639,0.33999999999999997,False,=
MaF4,2,MaF,0.0157218027203202,0.0011510542339312011,0.0156517614520965,0.0005467904823392537,0.8078304156661034,0.4855555555555556,False,=
MaF5,2,MaF,0.0160231494856799,0.0015492596136155758,0.01563039830337845,0.0012596316303792269,0.3598779272288084,0.6122222222222222,False,=
MaF6,2,MaF,0.0050293843795893994,0.0003282943931754998,0.005023817073885099,0.00019054336780452517,0.7000329215079546,0.5244444444444445,False,=
MaF7,2,MaF,0.00546102582834145,0.00032897356933252533,0.00533510323564745,0.00028777806993797537,0.0635564886033535,0.6366666666666667,False,=
RWMOP9,2,RWMOP,0.0372385950558711,0.0,0.0372385950558711,0.0,,0.5,False,=
WFG1,2,WFG,0.01813387653282325,0.0011547992709888266,0.02050772414470865,0.0025483310060225237,4.7124922275543213e-07,0.09888888888888883,True,+
WFG2,2,WFG,0.01323741406521075,0.0005617001618311752,0.0128952762255467,0.000502655161297624,0.007111456245183945,0.7,False,=
WFG3,2,WFG,0.0145799749386997,0.0007133471283081987,0.01443967532459825,0.0005128049025533259,0.46454504504799843,0.5777777777777778,False,=
WFG4,2,WFG,0.01517210290981985,0.0006601251463125742,0.015232928469814451,0.0006511958760711516,0.3492113798856735,0.43888888888888894,False,=
