M,Reference,Algorithm,Wins,Losses,Ties,NumProblems
M2,IVFSPEA2,SPEA2,20,2,6,28
M2,IVFSPEA2,MFOSPEA2,20,4,4,28
M2,IVFSPEA2,SPEA2SDE,27,0,1,28
M2,IVFSPEA2,NSGAII,27,0,1,28
M2,IVFSPEA2,NSGAIII,9,17,2,28
M2,IVFSPEA2,MOEAD,19,8,1,28
M2,IVFSPEA2,AGEMOEAII,25,1,2,28
M2,IVFSPEA2,ARMOEA,9,17,2,28
M3,IVFSPEA2,SPEA2,18,1,4,23
M3,IVFSPEA2,MFOSPEA2,18,3,2,23
M3,IVFSPEA2,SPEA2SDE,17,2,4,23
M3,IVFSPEA2,NSGAII,20,0,3,23
M3,IVFSPEA2,NSGAIII,17,3,3,23
M3,IVFSPEA2,MOEAD,21,0,2,23
M3,IVFSPEA2,AGEMOEAII,8,12,3,23
M3,IVFSPEA2,ARMOEA,17,5,1,23
