Algoritmo,Problema,M,is_engineering,n_rows,n_unique_runs,run_min,run_max,expected_window,status
IVFSPEA2,DTLZ1,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ1,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ2,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ2,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ3,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ3,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ4,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ4,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ5,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ5,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ6,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ6,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ7,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,DTLZ7,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF1,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF1,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF2,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF2,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF3,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF3,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF4,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF4,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF5,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF5,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF6,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF6,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF7,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,MaF7,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG1,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG1,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG2,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG2,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG3,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG3,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG4,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG4,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG5,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG5,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG6,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG6,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG7,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG7,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG8,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG8,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG9,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,WFG9,M3,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,ZDT1,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,ZDT2,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,ZDT3,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,ZDT4,M2,False,120,120,1,3060,3001-3060,mismatch
IVFSPEA2,ZDT6,M2,False,120,120,1,3060,3001-3060,mismatch
