Algoritmo,Problema,M,is_engineering,n_rows,n_unique_runs,run_min,run_max,expected_window,status
AGEMOEAII,DTLZ1,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ1,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ2,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ2,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ3,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ3,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ4,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ4,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ5,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ5,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ6,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ6,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ7,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,DTLZ7,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF1,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF1,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF2,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF2,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF3,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF3,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF4,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF4,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF5,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF5,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF6,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF6,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF7,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,MaF7,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG1,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG1,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG2,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG2,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG3,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG3,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG4,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG4,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG5,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG5,M3,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG6,M2,False,60,60,1,60,1-60,ok
AGEMOEAII,WFG6,M3,False,60,60,1,60,1-60,ok
