problem,M,ivf_algo,base_algo,variant,max_abs_diff
DTLZ5,2,IVFNSGAIII,NSGAIII,No smoothing,6.20833115028141e-06
DTLZ5,2,IVFNSGAII,NSGAII,No smoothing,0.003359272995989482
DTLZ5,2,IVFNSGAIII,NSGAIII,Include 1st checkpoint,0.0026822663857226647
DTLZ5,2,IVFNSGAII,NSGAII,Include 1st checkpoint,0.009213667526995928
MaF1,2,IVFNSGAIII,NSGAIII,No smoothing,1.8833690260677827e-06
MaF1,2,IVFNSGAII,NSGAII,No smoothing,0.003170972854311893
MaF1,2,IVFNSGAIII,NSGAIII,Include 1st checkpoint,0.0024620444407461584
MaF1,2,IVFNSGAII,NSGAII,Include 1st checkpoint,0.009380412138121352
WFG8,2,IVFNSGAIII,NSGAIII,No smoothing,0.0006641268810376744
WFG8,2,IVFNSGAII,NSGAII,No smoothing,0.0002459094140061513
WFG8,2,IVFNSGAIII,NSGAIII,Include 1st checkpoint,0.006513557391604086
WFG8,2,IVFNSGAII,NSGAII,Include 1st checkpoint,0.007525699850930323
ZDT4,2,IVFNSGAIII,NSGAIII,No smoothing,0.07094608742609365
ZDT4,2,IVFNSGAII,NSGAII,No smoothing,0.007912030418049998
ZDT4,2,IVFNSGAIII,NSGAIII,Include 1st checkpoint,0.1752373006828396
ZDT4,2,IVFNSGAII,NSGAII,Include 1st checkpoint,0.8403750449023943
DTLZ5,3,IVFNSGAIII,NSGAIII,No smoothing,0.013070931160751864
DTLZ5,3,IVFNSGAII,NSGAII,No smoothing,0.003497141380806701
DTLZ5,3,IVFNSGAIII,NSGAIII,Include 1st checkpoint,0.04307935629584869
DTLZ5,3,IVFNSGAII,NSGAII,Include 1st checkpoint,0.007244055288564422
WFG2,2,IVFNSGAIII,NSGAIII,No smoothing,0.0022627253230109723
WFG2,2,IVFNSGAII,NSGAII,No smoothing,0.004461824598670061
WFG2,2,IVFNSGAIII,NSGAIII,Include 1st checkpoint,0.016201361720788343
WFG2,2,IVFNSGAII,NSGAII,Include 1st checkpoint,0.04000976937717937
