metric,M,problem,n_ivf,n_spea2,median_ivf,median_spea2,iqr_ivf,iqr_spea2,p_value,a12,sign
IGDp,M2,DTLZ1,0,60,,0.00131473006381295,,3.862879172967506e-05,,,NA
IGDp,M2,DTLZ2,0,60,,0.0019259215816225502,,8.321937426867491e-05,,,NA
IGDp,M2,DTLZ3,0,60,,0.0026080403689634,,0.0008724021145444251,,,NA
IGDp,M2,DTLZ4,0,60,,0.0019039349887792,,5.7115809755299866e-05,,,NA
IGDp,M2,DTLZ5,0,60,,0.0019200978036015,,6.934143579075016e-05,,,NA
IGDp,M2,DTLZ6,0,60,,0.0017584674449892,,1.9283511970800103e-05,,,NA
IGDp,M2,DTLZ7,0,60,,0.0023830704068562502,,0.00012929387795300017,,,NA
IGDp,M2,MaF1,0,60,,0.00284471041300045,,6.988177551202433e-05,,,NA
IGDp,M2,MaF2,0,60,,0.00163526307491135,,6.326292792147503e-05,,,NA
IGDp,M2,MaF3,0,60,,0.0032121630509058,,0.0009500884086860997,,,NA
IGDp,M2,MaF4,0,60,,0.0059008949655450504,,0.0006822198652580496,,,NA
IGDp,M2,MaF5,0,60,,0.0055639540279766,,0.0004403160719254999,,,NA
IGDp,M2,MaF6,0,60,,0.00177131782554265,,3.1283202161624685e-05,,,NA
IGDp,M2,MaF7,0,60,,0.0023692292013555,,0.000165094032460825,,,NA
IGDp,M2,WFG1,0,60,,0.01281712244049075,,0.00598684188076465,,,NA
IGDp,M2,WFG2,0,60,,0.003409052190078,,0.000651465913310775,,,NA
IGDp,M2,WFG3,0,60,,0.00811075954373715,,0.0007266926734434756,,,NA
IGDp,M2,WFG4,0,60,,0.005654846102119851,,0.00029982148522054997,,,NA
IGDp,M2,WFG5,0,60,,0.0632839418322774,,0.00015015200284822228,,,NA
IGDp,M2,WFG6,0,60,,0.076080764007082,,0.029564228256385244,,,NA
IGDp,M2,WFG7,0,60,,0.006918709516749199,,0.0004961135107701504,,,NA
IGDp,M2,WFG8,0,60,,0.106971638826796,,0.001994767697548999,,,NA
IGDp,M2,WFG9,0,60,,0.01197524988723785,,0.0020265495691175247,,,NA
IGDp,M2,ZDT1,0,60,,0.00267810187944795,,0.00014033381766872513,,,NA
IGDp,M2,ZDT2,0,60,,0.0023517763276154,,8.134737570917499e-05,,,NA
IGDp,M2,ZDT3,0,60,,0.0018924275859314998,,0.0002046662425777999,,,NA
IGDp,M2,ZDT4,0,60,,0.00261431033915045,,0.00013425635541354985,,,NA
IGDp,M2,ZDT6,0,60,,0.0020620587818705,,2.196674642230027e-05,,,NA
IGDp,M3,DTLZ1,0,0,,,,,,,NA
IGDp,M3,DTLZ2,0,0,,,,,,,NA
IGDp,M3,DTLZ3,0,0,,,,,,,NA
IGDp,M3,DTLZ4,0,0,,,,,,,NA
IGDp,M3,DTLZ5,0,0,,,,,,,NA
IGDp,M3,DTLZ6,0,0,,,,,,,NA
IGDp,M3,DTLZ7,0,0,,,,,,,NA
IGDp,M3,MaF1,0,0,,,,,,,NA
IGDp,M3,MaF2,0,0,,,,,,,NA
IGDp,M3,MaF3,0,0,,,,,,,NA
IGDp,M3,MaF4,0,0,,,,,,,NA
IGDp,M3,MaF5,0,0,,,,,,,NA
IGDp,M3,MaF6,0,0,,,,,,,NA
IGDp,M3,MaF7,0,0,,,,,,,NA
IGDp,M3,WFG1,0,0,,,,,,,NA
IGDp,M3,WFG2,0,0,,,,,,,NA
IGDp,M3,WFG3,0,0,,,,,,,NA
IGDp,M3,WFG4,0,0,,,,,,,NA
IGDp,M3,WFG5,0,0,,,,,,,NA
IGDp,M3,WFG6,0,0,,,,,,,NA
IGDp,M3,WFG7,0,0,,,,,,,NA
IGDp,M3,WFG8,0,0,,,,,,,NA
IGDp,M3,WFG9,0,0,,,,,,,NA
Spacing,M2,DTLZ1,0,60,,0.0013361178741786001,,0.00019607427438087487,,,NA
Spacing,M2,DTLZ2,0,60,,0.0033633309534917,,0.0004431244788519,,,NA
