Pair,Metric,ProblemTag,Problem,M,N_C26,N_A43,Median_C26,Median_A43,DirectionRaw,DeltaPct_C26_over_A43,P_raw,P_adj,Indicator,N_IVFSPEA2v1,Median_IVFSPEA2v1,DeltaPct_C26_over_IVFSPEA2v1,DeltaPct_A43_over_IVFSPEA2v1
C26_vs_A43,HV,ZDT1_M2,ZDT1,2,30.0,30.0,0.7204146101776472,0.720403456691366,+,0.0015482277573248564,0.717188813606376,1.0,=,,,,
C26_vs_A43,HV,ZDT6_M2,ZDT6,2,30.0,30.0,0.38893485735186095,0.38892952438942446,+,0.0013711899205545138,0.12235292584474146,1.0,=,,,,
C26_vs_A43,HV,DTLZ1_M3,DTLZ1,3,30.0,30.0,0.8427396918705513,0.842151971005927,+,0.06978798184397933,9.791710196799422e-05,0.0011750052236159307,+,,,,
C26_vs_A43,HV,DTLZ2_M3,DTLZ2,3,30.0,30.0,0.5579948265186099,0.5578624739742789,+,0.02372494127236702,0.9469559422255942,1.0,=,,,,
C26_vs_A43,HV,DTLZ4_M3,DTLZ4,3,30.0,30.0,0.5553641722609886,0.5568773707428147,-,-0.2717292102941333,0.20620548705301323,1.0,=,,,,
C26_vs_A43,HV,DTLZ7_M3,DTLZ7,3,30.0,30.0,0.2771085705616785,0.2776937952487677,-,-0.21074460326524386,0.12597019317097233,1.0,=,,,,
C26_vs_A43,HV,WFG2_M3,WFG2,3,30.0,30.0,0.9269688480122009,0.9282592429378045,-,-0.13901234331043724,0.029205409568445008,0.3212595052528951,=,,,,
C26_vs_A43,HV,WFG4_M2,WFG4,2,30.0,30.0,0.34715303380476537,0.34720200002781404,-,-0.014103093601059795,0.5692201637415295,1.0,=,,,,
C26_vs_A43,HV,WFG5_M3,WFG5,3,30.0,30.0,0.5161132060223346,0.5163064303905951,-,-0.037424358266145805,0.20094889697592833,1.0,=,,,,
C26_vs_A43,HV,WFG9_M2,WFG9,2,30.0,30.0,0.3421927231882318,0.34213567015883284,+,0.016675557205850705,0.3952670113331167,1.0,=,,,,
C26_vs_A43,HV,MaF1_M3,MaF1,3,30.0,30.0,0.22040340593192176,0.22021383479008386,+,0.08608502822659093,0.7505872315223063,1.0,=,,,,
C26_vs_A43,HV,MaF5_M3,MaF5,3,30.0,30.0,0.556731621141316,0.555508700999297,+,0.22014419212861747,0.4552969069031376,1.0,=,,,,
C26_vs_IVFSPEA2v1,HV,ZDT1_M2,ZDT1,2,30.0,,0.7204146101776472,,+,,0.1421301685812258,0.7106508429061289,=,60.0,0.7203871653021996,0.0038097396468852788,
C26_vs_IVFSPEA2v1,HV,ZDT6_M2,ZDT6,2,30.0,,0.38893485735186095,,+,,0.010621094263254187,0.0743476598427793,=,60.0,0.3889223978122778,0.0032036055658563583,
C26_vs_IVFSPEA2v1,HV,DTLZ1_M3,DTLZ1,3,30.0,,0.8427396918705513,,+,,0.00096831212502824,0.00774649700022592,+,60.0,0.8425251230471176,0.02546735017915146,
C26_vs_IVFSPEA2v1,HV,DTLZ2_M3,DTLZ2,3,30.0,,0.5579948265186099,,+,,1.2454466790723369e-05,0.00012454466790723368,+,60.0,0.556944224339982,0.18863687470192975,
C26_vs_IVFSPEA2v1,HV,DTLZ4_M3,DTLZ4,3,30.0,,0.5553641722609886,,-,,0.4186041180365184,1.0,=,60.0,0.556164133463858,-0.1438354533736557,
C26_vs_IVFSPEA2v1,HV,DTLZ7_M3,DTLZ7,3,30.0,,0.2771085705616785,,-,,0.5236942908631261,1.0,=,60.0,0.27721929015388547,-0.03993935347916307,
C26_vs_IVFSPEA2v1,HV,WFG2_M3,WFG2,3,30.0,,0.9269688480122009,,-,,1.015236372852102e-09,1.2182836474225224e-08,-,60.0,0.9302075733701636,-0.34817232741168513,
C26_vs_IVFSPEA2v1,HV,WFG4_M2,WFG4,2,30.0,,0.34715303380476537,,-,,0.011712588514908973,0.0743476598427793,=,60.0,0.34725767950244657,-0.030134883649266465,
C26_vs_IVFSPEA2v1,HV,WFG5_M3,WFG5,3,30.0,,0.5161132060223346,,+,,0.0006081271155977213,0.0054731440403794915,+,60.0,0.5145848477451305,0.2970080218842906,
C26_vs_IVFSPEA2v1,HV,WFG9_M2,WFG9,2,30.0,,0.3421927231882318,,-,,0.42354504246926417,1.0,=,60.0,0.3426450022163767,-0.1319963884543459,
C26_vs_IVFSPEA2v1,HV,MaF1_M3,MaF1,3,30.0,,0.22040340593192176,,+,,9.167889875832452e-07,1.0084678863415698e-05,+,60.0,0.219466086972545,0.427090568892324,
C26_vs_IVFSPEA2v1,HV,MaF5_M3,MaF5,3,30.0,,0.556731621141316,,+,,0.331314126960893,1.0,=,60.0,0.5552302318426006,0.27040842025710915,
A43_vs_IVFSPEA2v1,HV,ZDT1_M2,ZDT1,2,,30.0,,0.720403456691366,+,,0.16426436600036998,0.49279309800110993,=,60.0,0.7203871653021996,,0.002261476876747691
A43_vs_IVFSPEA2v1,HV,ZDT6_M2,ZDT6,2,,30.0,,0.38892952438942446,+,,0.1947274446581212,0.49279309800110993,=,60.0,0.3889223978122778,,0.0018323905197477324
A43_vs_IVFSPEA2v1,HV,DTLZ1_M3,DTLZ1,3,,30.0,,0.842151971005927,-,,0.00938449310211691,0.07507594481693527,=,60.0,0.8425251230471176,,-0.04428972276114857
A43_vs_IVFSPEA2v1,HV,DTLZ2_M3,DTLZ2,3,,30.0,,0.5578624739742789,+,,6.767585673644691e-05,0.0006090827106280222,+,60.0,0.556944224339982,,0.1648728174504485
A43_vs_IVFSPEA2v1,HV,DTLZ4_M3,DTLZ4,3,,30.0,,0.5568773707428147,+,,0.038729520160956876,0.22758110975846135,=,60.0,0.556164133463858,,0.1282422285152858
A43_vs_IVFSPEA2v1,HV,DTLZ7_M3,DTLZ7,3,,30.0,,0.2776937952487677,+,,0.011712588514908973,0.08198811960436281,=,60.0,0.27721929015388547,,0.17116597283646012
A43_vs_IVFSPEA2v1,HV,WFG2_M3,WFG2,3,,30.0,,0.9282592429378045,-,,2.750229802564833e-07,3.3002757630778e-06,-,60.0,0.9302075733701636,,-0.20945114704885112
A43_vs_IVFSPEA2v1,HV,WFG4_M2,WFG4,2,,30.0,,0.34720200002781404,-,,0.03793018495974356,0.22758110975846135,=,60.0,0.34725767950244657,,-0.016034051345475964
A43_vs_IVFSPEA2v1,HV,WFG5_M3,WFG5,3,,30.0,,0.5163064303905951,+,,4.21325687812742e-06,4.21325687812742e-05,+,60.0,0.5145848477451305,,0.334557586180095
A43_vs_IVFSPEA2v1,HV,WFG9_M2,WFG9,2,,30.0,,0.34213567015883284,-,,0.08613979319074372,0.3445591727629749,=,60.0,0.3426450022163767,,-0.14864715791834304
A43_vs_IVFSPEA2v1,HV,MaF1_M3,MaF1,3,,30.0,,0.22021383479008386,+,,6.451714377280447e-07,7.096885815008492e-06,+,60.0,0.219466086972545,,0.3407122384391013
A43_vs_IVFSPEA2v1,HV,MaF5_M3,MaF5,3,,30.0,,0.555508700999297,+,,0.8072792404088107,0.8072792404088107,=,60.0,0.5552302318426006,,0.050153817412327675
