Phase,ConfigID,ProblemTag,ExpectedRuns,FoundRuns,MissingRuns,ExtraRuns,Status
A,A03,ZDT1_M2,30,30,0,0,OK
A,A03,ZDT6_M2,30,30,0,0,OK
A,A03,WFG4_M2,30,30,0,0,OK
A,A03,WFG9_M2,30,30,0,0,OK
A,A03,DTLZ1_M3,30,30,0,0,OK
A,A03,DTLZ2_M3,30,30,0,0,OK
A,A03,DTLZ4_M3,30,30,0,0,OK
A,A03,DTLZ7_M3,30,30,0,0,OK
A,A03,WFG2_M3,30,30,0,0,OK
A,A03,WFG5_M3,30,30,0,0,OK
A,A03,MaF1_M3,30,30,0,0,OK
A,A03,MaF5_M3,30,30,0,0,OK
A,A06,ZDT1_M2,30,30,0,0,OK
A,A06,ZDT6_M2,30,30,0,0,OK
A,A06,WFG4_M2,30,30,0,0,OK
A,A06,WFG9_M2,30,30,0,0,OK
A,A06,DTLZ1_M3,30,30,0,0,OK
A,A06,DTLZ2_M3,30,30,0,0,OK
A,A06,DTLZ4_M3,30,30,0,0,OK
A,A06,DTLZ7_M3,30,30,0,0,OK
A,A06,WFG2_M3,30,30,0,0,OK
A,A06,WFG5_M3,30,30,0,0,OK
A,A06,MaF1_M3,30,30,0,0,OK
A,A06,MaF5_M3,30,30,0,0,OK
A,A09,ZDT1_M2,30,30,0,0,OK
A,A09,ZDT6_M2,30,30,0,0,OK
A,A09,WFG4_M2,30,30,0,0,OK
A,A09,WFG9_M2,30,30,0,0,OK
A,A09,DTLZ1_M3,30,30,0,0,OK
A,A09,DTLZ2_M3,30,30,0,0,OK
A,A09,DTLZ4_M3,30,30,0,0,OK
A,A09,DTLZ7_M3,30,30,0,0,OK
A,A09,WFG2_M3,30,30,0,0,OK
A,A09,WFG5_M3,30,30,0,0,OK
A,A09,MaF1_M3,30,30,0,0,OK
A,A09,MaF5_M3,30,30,0,0,OK
A,A12,ZDT1_M2,30,30,0,0,OK
A,A12,ZDT6_M2,30,30,0,0,OK
A,A12,WFG4_M2,30,30,0,0,OK
A,A12,WFG9_M2,30,30,0,0,OK
A,A12,DTLZ1_M3,30,30,0,0,OK
A,A12,DTLZ2_M3,30,30,0,0,OK
A,A12,DTLZ4_M3,30,30,0,0,OK
A,A12,DTLZ7_M3,30,30,0,0,OK
A,A12,WFG2_M3,30,30,0,0,OK
A,A12,WFG5_M3,30,30,0,0,OK
A,A12,MaF1_M3,30,30,0,0,OK
A,A12,MaF5_M3,30,30,0,0,OK
A,A15,ZDT1_M2,30,30,0,0,OK
A,A15,ZDT6_M2,30,30,0,0,OK
A,A15,WFG4_M2,30,30,0,0,OK
A,A15,WFG9_M2,30,30,0,0,OK
A,A15,DTLZ1_M3,30,30,0,0,OK
A,A15,DTLZ2_M3,30,30,0,0,OK
A,A15,DTLZ4_M3,30,30,0,0,OK
A,A15,DTLZ7_M3,30,30,0,0,OK
A,A15,WFG2_M3,30,30,0,0,OK
A,A15,WFG5_M3,30,30,0,0,OK
A,A15,MaF1_M3,30,30,0,0,OK
A,A15,MaF5_M3,30,30,0,0,OK
A,A18,ZDT1_M2,30,30,0,0,OK
A,A18,ZDT6_M2,30,30,0,0,OK
A,A18,WFG4_M2,30,30,0,0,OK
A,A18,WFG9_M2,30,30,0,0,OK
A,A18,DTLZ1_M3,30,30,0,0,OK
A,A18,DTLZ2_M3,30,30,0,0,OK
A,A18,DTLZ4_M3,30,30,0,0,OK
A,A18,DTLZ7_M3,30,30,0,0,OK
A,A18,WFG2_M3,30,30,0,0,OK
A,A18,WFG5_M3,30,30,0,0,OK
A,A18,MaF1_M3,30,30,0,0,OK
A,A18,MaF5_M3,30,30,0,0,OK
A,A21,ZDT1_M2,30,30,0,0,OK
A,A21,ZDT6_M2,30,30,0,0,OK
A,A21,WFG4_M2,30,30,0,0,OK
A,A21,WFG9_M2,30,30,0,0,OK
A,A21,DTLZ1_M3,30,30,0,0,OK
A,A21,DTLZ2_M3,30,30,0,0,OK
A,A21,DTLZ4_M3,30,30,0,0,OK
A,A21,DTLZ7_M3,30,30,0,0,OK
A,A21,WFG2_M3,30,30,0,0,OK
A,A21,WFG5_M3,30,30,0,0,OK
A,A21,MaF1_M3,30,30,0,0,OK
A,A21,MaF5_M3,30,30,0,0,OK
A,A24,ZDT1_M2,30,30,0,0,OK
A,A24,ZDT6_M2,30,30,0,0,OK
A,A24,WFG4_M2,30,30,0,0,OK
A,A24,WFG9_M2,30,30,0,0,OK
A,A24,DTLZ1_M3,30,30,0,0,OK
A,A24,DTLZ2_M3,30,30,0,0,OK
A,A24,DTLZ4_M3,30,30,0,0,OK
A,A24,DTLZ7_M3,30,30,0,0,OK
A,A24,WFG2_M3,30,30,0,0,OK
A,A24,WFG5_M3,30,30,0,0,OK
A,A24,MaF1_M3,30,30,0,0,OK
A,A24,MaF5_M3,30,30,0,0,OK
A,A27,ZDT1_M2,30,30,0,0,OK
A,A27,ZDT6_M2,30,30,0,0,OK
A,A27,WFG4_M2,30,30,0,0,OK
A,A27,WFG9_M2,30,30,0,0,OK
A,A27,DTLZ1_M3,30,30,0,0,OK
A,A27,DTLZ2_M3,30,30,0,0,OK
A,A27,DTLZ4_M3,30,30,0,0,OK
A,A27,DTLZ7_M3,30,30,0,0,OK
A,A27,WFG2_M3,30,30,0,0,OK
A,A27,WFG5_M3,30,30,0,0,OK
A,A27,MaF1_M3,30,30,0,0,OK
A,A27,MaF5_M3,30,30,0,0,OK
A,A30,ZDT1_M2,30,30,0,0,OK
A,A30,ZDT6_M2,30,30,0,0,OK
A,A30,WFG4_M2,30,30,0,0,OK
A,A30,WFG9_M2,30,30,0,0,OK
A,A30,DTLZ1_M3,30,30,0,0,OK
A,A30,DTLZ2_M3,30,30,0,0,OK
A,A30,DTLZ4_M3,30,30,0,0,OK
A,A30,DTLZ7_M3,30,30,0,0,OK
A,A30,WFG2_M3,30,30,0,0,OK
A,A30,WFG5_M3,30,30,0,0,OK
A,A30,MaF1_M3,30,30,0,0,OK
A,A30,MaF5_M3,30,30,0,0,OK
A,A33,ZDT1_M2,30,30,0,0,OK
A,A33,ZDT6_M2,30,30,0,0,OK
A,A33,WFG4_M2,30,30,0,0,OK
A,A33,WFG9_M2,30,30,0,0,OK
A,A33,DTLZ1_M3,30,30,0,0,OK
A,A33,DTLZ2_M3,30,30,0,0,OK
A,A33,DTLZ4_M3,30,30,0,0,OK
A,A33,DTLZ7_M3,30,30,0,0,OK
A,A33,WFG2_M3,30,30,0,0,OK
A,A33,WFG5_M3,30,30,0,0,OK
A,A33,MaF1_M3,30,30,0,0,OK
A,A33,MaF5_M3,30,30,0,0,OK
A,A36,ZDT1_M2,30,30,0,0,OK
A,A36,ZDT6_M2,30,30,0,0,OK
A,A36,WFG4_M2,30,30,0,0,OK
A,A36,WFG9_M2,30,30,0,0,OK
A,A36,DTLZ1_M3,30,30,0,0,OK
A,A36,DTLZ2_M3,30,30,0,0,OK
A,A36,DTLZ4_M3,30,30,0,0,OK
A,A36,DTLZ7_M3,30,30,0,0,OK
A,A36,WFG2_M3,30,30,0,0,OK
A,A36,WFG5_M3,30,30,0,0,OK
A,A36,MaF1_M3,30,30,0,0,OK
A,A36,MaF5_M3,30,30,0,0,OK
A,A39,ZDT1_M2,30,30,0,0,OK
A,A39,ZDT6_M2,30,30,0,0,OK
A,A39,WFG4_M2,30,30,0,0,OK
A,A39,WFG9_M2,30,30,0,0,OK
A,A39,DTLZ1_M3,30,30,0,0,OK
A,A39,DTLZ2_M3,30,30,0,0,OK
A,A39,DTLZ4_M3,30,30,0,0,OK
A,A39,DTLZ7_M3,30,30,0,0,OK
A,A39,WFG2_M3,30,30,0,0,OK
A,A39,WFG5_M3,30,30,0,0,OK
A,A39,MaF1_M3,30,30,0,0,OK
A,A39,MaF5_M3,30,30,0,0,OK
A,A42,ZDT1_M2,30,30,0,0,OK
A,A42,ZDT6_M2,30,30,0,0,OK
A,A42,WFG4_M2,30,30,0,0,OK
A,A42,WFG9_M2,30,30,0,0,OK
A,A42,DTLZ1_M3,30,30,0,0,OK
A,A42,DTLZ2_M3,30,30,0,0,OK
A,A42,DTLZ4_M3,30,30,0,0,OK
A,A42,DTLZ7_M3,30,30,0,0,OK
A,A42,WFG2_M3,30,30,0,0,OK
A,A42,WFG5_M3,30,30,0,0,OK
A,A42,MaF1_M3,30,30,0,0,OK
A,A42,MaF5_M3,30,30,0,0,OK
A,A45,ZDT1_M2,30,30,0,0,OK
A,A45,ZDT6_M2,30,30,0,0,OK
A,A45,WFG4_M2,30,30,0,0,OK
A,A45,WFG9_M2,30,30,0,0,OK
A,A45,DTLZ1_M3,30,30,0,0,OK
A,A45,DTLZ2_M3,30,30,0,0,OK
A,A45,DTLZ4_M3,30,30,0,0,OK
A,A45,DTLZ7_M3,30,30,0,0,OK
A,A45,WFG2_M3,30,30,0,0,OK
A,A45,WFG5_M3,30,30,0,0,OK
A,A45,MaF1_M3,30,30,0,0,OK
A,A45,MaF5_M3,30,30,0,0,OK
A,A48,ZDT1_M2,30,30,0,0,OK
A,A48,ZDT6_M2,30,30,0,0,OK
A,A48,WFG4_M2,30,30,0,0,OK
A,A48,WFG9_M2,30,30,0,0,OK
A,A48,DTLZ1_M3,30,30,0,0,OK
A,A48,DTLZ2_M3,30,30,0,0,OK
A,A48,DTLZ4_M3,30,30,0,0,OK
A,A48,DTLZ7_M3,30,30,0,0,OK
A,A48,WFG2_M3,30,30,0,0,OK
A,A48,WFG5_M3,30,30,0,0,OK
A,A48,MaF1_M3,30,30,0,0,OK
A,A48,MaF5_M3,30,30,0,0,OK
