Phase,ConfigID,ProblemTag,ExpectedRuns,FoundRuns,MissingRuns,ExtraRuns,Status
B,B01,ZDT1_M2,30,30,0,0,OK
B,B01,ZDT6_M2,30,30,0,0,OK
B,B01,WFG4_M2,30,30,0,0,OK
B,B01,WFG9_M2,30,30,0,0,OK
B,B01,DTLZ1_M3,30,30,0,0,OK
B,B01,DTLZ2_M3,30,30,0,0,OK
B,B01,DTLZ4_M3,30,30,0,0,OK
B,B01,DTLZ7_M3,30,30,0,0,OK
B,B01,WFG2_M3,30,30,0,0,OK
B,B01,WFG5_M3,30,30,0,0,OK
B,B01,MaF1_M3,30,30,0,0,OK
B,B01,MaF5_M3,30,30,0,0,OK
B,B04,ZDT1_M2,30,30,0,0,OK
B,B04,ZDT6_M2,30,30,0,0,OK
B,B04,WFG4_M2,30,30,0,0,OK
B,B04,WFG9_M2,30,30,0,0,OK
B,B04,DTLZ1_M3,30,30,0,0,OK
B,B04,DTLZ2_M3,30,30,0,0,OK
B,B04,DTLZ4_M3,30,30,0,0,OK
B,B04,DTLZ7_M3,30,30,0,0,OK
B,B04,WFG2_M3,30,30,0,0,OK
B,B04,WFG5_M3,30,30,0,0,OK
B,B04,MaF1_M3,30,30,0,0,OK
B,B04,MaF5_M3,30,30,0,0,OK
