Phase,ConfigIndex,ConfigID,ProblemTag,RunStart,RunEnd,RunsPerCase
A,1,A01,ZDT1_M2,100001,100030,30
A,1,A01,ZDT6_M2,100031,100060,30
A,1,A01,WFG4_M2,100061,100090,30
A,1,A01,WFG9_M2,100091,100120,30
A,1,A01,DTLZ1_M3,100121,100150,30
A,1,A01,DTLZ2_M3,100151,100180,30
A,1,A01,DTLZ4_M3,100181,100210,30
A,1,A01,DTLZ7_M3,100211,100240,30
A,1,A01,WFG2_M3,100241,100270,30
A,1,A01,WFG5_M3,100271,100300,30
A,1,A01,MaF1_M3,100301,100330,30
A,1,A01,MaF5_M3,100331,100360,30
A,2,A02,ZDT1_M2,100361,100390,30
A,2,A02,ZDT6_M2,100391,100420,30
A,2,A02,WFG4_M2,100421,100450,30
A,2,A02,WFG9_M2,100451,100480,30
A,2,A02,DTLZ1_M3,100481,100510,30
A,2,A02,DTLZ2_M3,100511,100540,30
A,2,A02,DTLZ4_M3,100541,100570,30
A,2,A02,DTLZ7_M3,100571,100600,30
A,2,A02,WFG2_M3,100601,100630,30
A,2,A02,WFG5_M3,100631,100660,30
A,2,A02,MaF1_M3,100661,100690,30
A,2,A02,MaF5_M3,100691,100720,30
A,3,A03,ZDT1_M2,100721,100750,30
A,3,A03,ZDT6_M2,100751,100780,30
A,3,A03,WFG4_M2,100781,100810,30
A,3,A03,WFG9_M2,100811,100840,30
A,3,A03,DTLZ1_M3,100841,100870,30
A,3,A03,DTLZ2_M3,100871,100900,30
A,3,A03,DTLZ4_M3,100901,100930,30
A,3,A03,DTLZ7_M3,100931,100960,30
A,3,A03,WFG2_M3,100961,100990,30
A,3,A03,WFG5_M3,100991,101020,30
A,3,A03,MaF1_M3,101021,101050,30
A,3,A03,MaF5_M3,101051,101080,30
A,4,A04,ZDT1_M2,101081,101110,30
A,4,A04,ZDT6_M2,101111,101140,30
A,4,A04,WFG4_M2,101141,101170,30
A,4,A04,WFG9_M2,101171,101200,30
A,4,A04,DTLZ1_M3,101201,101230,30
A,4,A04,DTLZ2_M3,101231,101260,30
A,4,A04,DTLZ4_M3,101261,101290,30
A,4,A04,DTLZ7_M3,101291,101320,30
A,4,A04,WFG2_M3,101321,101350,30
A,4,A04,WFG5_M3,101351,101380,30
A,4,A04,MaF1_M3,101381,101410,30
A,4,A04,MaF5_M3,101411,101440,30
A,5,A05,ZDT1_M2,101441,101470,30
A,5,A05,ZDT6_M2,101471,101500,30
A,5,A05,WFG4_M2,101501,101530,30
A,5,A05,WFG9_M2,101531,101560,30
A,5,A05,DTLZ1_M3,101561,101590,30
A,5,A05,DTLZ2_M3,101591,101620,30
A,5,A05,DTLZ4_M3,101621,101650,30
A,5,A05,DTLZ7_M3,101651,101680,30
A,5,A05,WFG2_M3,101681,101710,30
A,5,A05,WFG5_M3,101711,101740,30
