Phase,ConfigIndex,ConfigID,Description,R,C,Cycles,M,V,EARN,N_Offspring,S
A,1,A01,"AR baseline grid (R,C,Cycles)",0.05,0.07,2,0,0,0,1,1
A,2,A02,"AR baseline grid (R,C,Cycles)",0.05,0.07,3,0,0,0,1,1
A,3,A03,"AR baseline grid (R,C,Cycles)",0.05,0.07,4,0,0,0,1,1
A,4,A04,"AR baseline grid (R,C,Cycles)",0.05,0.11,2,0,0,0,1,1
A,5,A05,"AR baseline grid (R,C,Cycles)",0.05,0.11,3,0,0,0,1,1
A,6,A06,"AR baseline grid (R,C,Cycles)",0.05,0.11,4,0,0,0,1,1
A,7,A07,"AR baseline grid (R,C,Cycles)",0.05,0.16,2,0,0,0,1,1
A,8,A08,"AR baseline grid (R,C,Cycles)",0.05,0.16,3,0,0,0,1,1
A,9,A09,"AR baseline grid (R,C,Cycles)",0.05,0.16,4,0,0,0,1,1
A,10,A10,"AR baseline grid (R,C,Cycles)",0.05,0.21,2,0,0,0,1,1
A,11,A11,"AR baseline grid (R,C,Cycles)",0.05,0.21,3,0,0,0,1,1
A,12,A12,"AR baseline grid (R,C,Cycles)",0.05,0.21,4,0,0,0,1,1
A,13,A13,"AR baseline grid (R,C,Cycles)",0.1,0.07,2,0,0,0,1,1
A,14,A14,"AR baseline grid (R,C,Cycles)",0.1,0.07,3,0,0,0,1,1
A,15,A15,"AR baseline grid (R,C,Cycles)",0.1,0.07,4,0,0,0,1,1
A,16,A16,"AR baseline grid (R,C,Cycles)",0.1,0.11,2,0,0,0,1,1
A,17,A17,"AR baseline grid (R,C,Cycles)",0.1,0.11,3,0,0,0,1,1
A,18,A18,"AR baseline grid (R,C,Cycles)",0.1,0.11,4,0,0,0,1,1
A,19,A19,"AR baseline grid (R,C,Cycles)",0.1,0.16,2,0,0,0,1,1
A,20,A20,"AR baseline grid (R,C,Cycles)",0.1,0.16,3,0,0,0,1,1
A,21,A21,"AR baseline grid (R,C,Cycles)",0.1,0.16,4,0,0,0,1,1
A,22,A22,"AR baseline grid (R,C,Cycles)",0.1,0.21,2,0,0,0,1,1
A,23,A23,"AR baseline grid (R,C,Cycles)",0.1,0.21,3,0,0,0,1,1
A,24,A24,"AR baseline grid (R,C,Cycles)",0.1,0.21,4,0,0,0,1,1
A,25,A25,"AR baseline grid (R,C,Cycles)",0.15,0.07,2,0,0,0,1,1
A,26,A26,"AR baseline grid (R,C,Cycles)",0.15,0.07,3,0,0,0,1,1
A,27,A27,"AR baseline grid (R,C,Cycles)",0.15,0.07,4,0,0,0,1,1
A,28,A28,"AR baseline grid (R,C,Cycles)",0.15,0.11,2,0,0,0,1,1
A,29,A29,"AR baseline grid (R,C,Cycles)",0.15,0.11,3,0,0,0,1,1
A,30,A30,"AR baseline grid (R,C,Cycles)",0.15,0.11,4,0,0,0,1,1
A,31,A31,"AR baseline grid (R,C,Cycles)",0.15,0.16,2,0,0,0,1,1
A,32,A32,"AR baseline grid (R,C,Cycles)",0.15,0.16,3,0,0,0,1,1
A,33,A33,"AR baseline grid (R,C,Cycles)",0.15,0.16,4,0,0,0,1,1
A,34,A34,"AR baseline grid (R,C,Cycles)",0.15,0.21,2,0,0,0,1,1
A,35,A35,"AR baseline grid (R,C,Cycles)",0.15,0.21,3,0,0,0,1,1
A,36,A36,"AR baseline grid (R,C,Cycles)",0.15,0.21,4,0,0,0,1,1
A,37,A37,"AR baseline grid (R,C,Cycles)",0.2,0.07,2,0,0,0,1,1
A,38,A38,"AR baseline grid (R,C,Cycles)",0.2,0.07,3,0,0,0,1,1
A,39,A39,"AR baseline grid (R,C,Cycles)",0.2,0.07,4,0,0,0,1,1
A,40,A40,"AR baseline grid (R,C,Cycles)",0.2,0.11,2,0,0,0,1,1
A,41,A41,"AR baseline grid (R,C,Cycles)",0.2,0.11,3,0,0,0,1,1
A,42,A42,"AR baseline grid (R,C,Cycles)",0.2,0.11,4,0,0,0,1,1
A,43,A43,"AR baseline grid (R,C,Cycles)",0.2,0.16,2,0,0,0,1,1
A,44,A44,"AR baseline grid (R,C,Cycles)",0.2,0.16,3,0,0,0,1,1
A,45,A45,"AR baseline grid (R,C,Cycles)",0.2,0.16,4,0,0,0,1,1
A,46,A46,"AR baseline grid (R,C,Cycles)",0.2,0.21,2,0,0,0,1,1
A,47,A47,"AR baseline grid (R,C,Cycles)",0.2,0.21,3,0,0,0,1,1
A,48,A48,"AR baseline grid (R,C,Cycles)",0.2,0.21,4,0,0,0,1,1
