Phase,ConfigIndex,ConfigID,ProblemTag,RunStart,RunEnd,RunsPerCase
C,1,C01,ZDT1_M2,500001,500030,30
C,1,C01,ZDT6_M2,500031,500060,30
C,1,C01,WFG4_M2,500061,500090,30
C,1,C01,WFG9_M2,500091,500120,30
C,1,C01,DTLZ1_M3,500121,500150,30
C,1,C01,DTLZ2_M3,500151,500180,30
C,1,C01,DTLZ4_M3,500181,500210,30
C,1,C01,DTLZ7_M3,500211,500240,30
C,1,C01,WFG2_M3,500241,500270,30
C,1,C01,WFG5_M3,500271,500300,30
C,1,C01,MaF1_M3,500301,500330,30
C,1,C01,MaF5_M3,500331,500360,30
C,2,C02,ZDT1_M2,500361,500390,30
C,2,C02,ZDT6_M2,500391,500420,30
C,2,C02,WFG4_M2,500421,500450,30
C,2,C02,WFG9_M2,500451,500480,30
C,2,C02,DTLZ1_M3,500481,500510,30
C,2,C02,DTLZ2_M3,500511,500540,30
C,2,C02,DTLZ4_M3,500541,500570,30
C,2,C02,DTLZ7_M3,500571,500600,30
C,2,C02,WFG2_M3,500601,500630,30
C,2,C02,WFG5_M3,500631,500660,30
C,2,C02,MaF1_M3,500661,500690,30
C,2,C02,MaF5_M3,500691,500720,30
C,3,C03,ZDT1_M2,500721,500750,30
C,3,C03,ZDT6_M2,500751,500780,30
C,3,C03,WFG4_M2,500781,500810,30
C,3,C03,WFG9_M2,500811,500840,30
C,3,C03,DTLZ1_M3,500841,500870,30
C,3,C03,DTLZ2_M3,500871,500900,30
C,3,C03,DTLZ4_M3,500901,500930,30
C,3,C03,DTLZ7_M3,500931,500960,30
C,3,C03,WFG2_M3,500961,500990,30
C,3,C03,WFG5_M3,500991,501020,30
C,3,C03,MaF1_M3,501021,501050,30
C,3,C03,MaF5_M3,501051,501080,30
C,4,C04,ZDT1_M2,501081,501110,30
C,4,C04,ZDT6_M2,501111,501140,30
C,4,C04,WFG4_M2,501141,501170,30
C,4,C04,WFG9_M2,501171,501200,30
C,4,C04,DTLZ1_M3,501201,501230,30
C,4,C04,DTLZ2_M3,501231,501260,30
C,4,C04,DTLZ4_M3,501261,501290,30
C,4,C04,DTLZ7_M3,501291,501320,30
C,4,C04,WFG2_M3,501321,501350,30
C,4,C04,WFG5_M3,501351,501380,30
C,4,C04,MaF1_M3,501381,501410,30
C,4,C04,MaF5_M3,501411,501440,30
C,5,C05,ZDT1_M2,501441,501470,30
C,5,C05,ZDT6_M2,501471,501500,30
C,5,C05,WFG4_M2,501501,501530,30
C,5,C05,WFG9_M2,501531,501560,30
C,5,C05,DTLZ1_M3,501561,501590,30
C,5,C05,DTLZ2_M3,501591,501620,30
C,5,C05,DTLZ4_M3,501621,501650,30
C,5,C05,DTLZ7_M3,501651,501680,30
C,5,C05,WFG2_M3,501681,501710,30
C,5,C05,WFG5_M3,501711,501740,30
C,5,C05,MaF1_M3,501741,501770,30
C,5,C05,MaF5_M3,501771,501800,30
C,6,C06,ZDT1_M2,501801,501830,30
C,6,C06,ZDT6_M2,501831,501860,30
C,6,C06,WFG4_M2,501861,501890,30
C,6,C06,WFG9_M2,501891,501920,30
C,6,C06,DTLZ1_M3,501921,501950,30
C,6,C06,DTLZ2_M3,501951,501980,30
C,6,C06,DTLZ4_M3,501981,502010,30
C,6,C06,DTLZ7_M3,502011,502040,30
C,6,C06,WFG2_M3,502041,502070,30
C,6,C06,WFG5_M3,502071,502100,30
C,6,C06,MaF1_M3,502101,502130,30
C,6,C06,MaF5_M3,502131,502160,30
C,7,C07,ZDT1_M2,502161,502190,30
C,7,C07,ZDT6_M2,502191,502220,30
C,7,C07,WFG4_M2,502221,502250,30
C,7,C07,WFG9_M2,502251,502280,30
C,7,C07,DTLZ1_M3,502281,502310,30
C,7,C07,DTLZ2_M3,502311,502340,30
C,7,C07,DTLZ4_M3,502341,502370,30
C,7,C07,DTLZ7_M3,502371,502400,30
C,7,C07,WFG2_M3,502401,502430,30
C,7,C07,WFG5_M3,502431,502460,30
C,7,C07,MaF1_M3,502461,502490,30
C,7,C07,MaF5_M3,502491,502520,30
C,8,C08,ZDT1_M2,502521,502550,30
C,8,C08,ZDT6_M2,502551,502580,30
C,8,C08,WFG4_M2,502581,502610,30
C,8,C08,WFG9_M2,502611,502640,30
C,8,C08,DTLZ1_M3,502641,502670,30
C,8,C08,DTLZ2_M3,502671,502700,30
C,8,C08,DTLZ4_M3,502701,502730,30
C,8,C08,DTLZ7_M3,502731,502760,30
C,8,C08,WFG2_M3,502761,502790,30
C,8,C08,WFG5_M3,502791,502820,30
C,8,C08,MaF1_M3,502821,502850,30
C,8,C08,MaF5_M3,502851,502880,30
C,9,C09,ZDT1_M2,502881,502910,30
C,9,C09,ZDT6_M2,502911,502940,30
C,9,C09,WFG4_M2,502941,502970,30
C,9,C09,WFG9_M2,502971,503000,30
C,9,C09,DTLZ1_M3,503001,503030,30
C,9,C09,DTLZ2_M3,503031,503060,30
C,9,C09,DTLZ4_M3,503061,503090,30
C,9,C09,DTLZ7_M3,503091,503120,30
C,9,C09,WFG2_M3,503121,503150,30
