Phase,ConfigIndex,ConfigID,Description,R,C,Cycles,M,V,EARN,N_Offspring,S
C,1,C01,Local refine AR around center,0.175,0.12,2,0,0,0,1,1
C,2,C02,Local refine EARL around center,0.175,0.12,2,0.3,0.1,0,1,1
C,3,C03,Local refine EARM around center,0.175,0.12,2,0.5,0.2,0,1,1
C,4,C04,Local refine EARN around center,0.175,0.12,2,0.5,0.2,1,1,1
C,5,C05,Local refine AR around center,0.175,0.16,2,0,0,0,1,1
C,6,C06,Local refine EARL around center,0.175,0.16,2,0.3,0.1,0,1,1
C,7,C07,Local refine EARM around center,0.175,0.16,2,0.5,0.2,0,1,1
C,8,C08,Local refine EARN around center,0.175,0.16,2,0.5,0.2,1,1,1
C,9,C09,Local refine AR around center,0.175,0.21,2,0,0,0,1,1
C,10,C10,Local refine EARL around center,0.175,0.21,2,0.3,0.1,0,1,1
C,11,C11,Local refine EARM around center,0.175,0.21,2,0.5,0.2,0,1,1
C,12,C12,Local refine EARN around center,0.175,0.21,2,0.5,0.2,1,1,1
C,13,C13,Local refine AR around center,0.2,0.12,2,0,0,0,1,1
C,14,C14,Local refine EARL around center,0.2,0.12,2,0.3,0.1,0,1,1
C,15,C15,Local refine EARM around center,0.2,0.12,2,0.5,0.2,0,1,1
C,16,C16,Local refine EARN around center,0.2,0.12,2,0.5,0.2,1,1,1
C,17,C17,Local refine AR around center,0.2,0.16,2,0,0,0,1,1
C,18,C18,Local refine EARL around center,0.2,0.16,2,0.3,0.1,0,1,1
C,19,C19,Local refine EARM around center,0.2,0.16,2,0.5,0.2,0,1,1
C,20,C20,Local refine EARN around center,0.2,0.16,2,0.5,0.2,1,1,1
C,21,C21,Local refine AR around center,0.2,0.21,2,0,0,0,1,1
C,22,C22,Local refine EARL around center,0.2,0.21,2,0.3,0.1,0,1,1
C,23,C23,Local refine EARM around center,0.2,0.21,2,0.5,0.2,0,1,1
C,24,C24,Local refine EARN around center,0.2,0.21,2,0.5,0.2,1,1,1
C,25,C25,Local refine AR around center,0.225,0.12,2,0,0,0,1,1
C,26,C26,Local refine EARL around center,0.225,0.12,2,0.3,0.1,0,1,1
C,27,C27,Local refine EARM around center,0.225,0.12,2,0.5,0.2,0,1,1
C,28,C28,Local refine EARN around center,0.225,0.12,2,0.5,0.2,1,1,1
C,29,C29,Local refine AR around center,0.225,0.16,2,0,0,0,1,1
C,30,C30,Local refine EARL around center,0.225,0.16,2,0.3,0.1,0,1,1
C,31,C31,Local refine EARM around center,0.225,0.16,2,0.5,0.2,0,1,1
C,32,C32,Local refine EARN around center,0.225,0.16,2,0.5,0.2,1,1,1
C,33,C33,Local refine AR around center,0.225,0.21,2,0,0,0,1,1
C,34,C34,Local refine EARL around center,0.225,0.21,2,0.3,0.1,0,1,1
C,35,C35,Local refine EARM around center,0.225,0.21,2,0.5,0.2,0,1,1
C,36,C36,Local refine EARN around center,0.225,0.21,2,0.5,0.2,1,1,1
