Phase,ConfigID,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,ProblemCoverage,MeanCombinedRank,MeanNormRankIGD,MeanNormRankHV,MeanIGDMedian,MeanHVMedian,ExpectedProblems,CompleteCoverage
A,A43,0.2,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.2127659574468085,0.2109929078014184,0.2145390070921985,0.0757284280223322,0.5211287059464172,12,True
A,A39,0.2,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3173758865248227,0.3546099290780142,0.2801418439716312,0.0760434609384401,0.5210857852937602,12,True
A,A32,0.15,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3501773049645389,0.3049645390070922,0.3953900709219858,0.0759689608310149,0.5207223702901776,12,True
A,A44,0.2,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3501773049645389,0.3829787234042554,0.3173758865248227,0.0759918343653977,0.521006938528967,12,True
A,A41,0.2,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3608156028368794,0.3652482269503546,0.3563829787234042,0.0764602547259163,0.5207973100553894,12,True
A,A27,0.15,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3661347517730496,0.3475177304964538,0.3847517730496454,0.0759430846966319,0.520760454782503,12,True
A,A34,0.15,0.21,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3670212765957447,0.4308510638297873,0.3031914893617021,0.0758467408709079,0.5210093010904896,12,True
A,A29,0.15,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3679078014184397,0.3847517730496454,0.351063829787234,0.0760919755356835,0.5208542645385121,12,True
A,A37,0.2,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3812056737588652,0.3421985815602837,0.4202127659574468,0.0759181014666005,0.5208682305673976,12,True
A,A40,0.2,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3891843971631206,0.4627659574468085,0.3156028368794326,0.1170274643705635,0.5035828385745705,12,True
