Phase,ConfigID,ProblemTag,ProblemName,M,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,Runs,IGD_Median,IGD_Mean,IGD_IQR,HV_Median,HV_Mean,HV_IQR
A,A01,DTLZ1_M3,DTLZ1,3,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.020171170669049006,0.020185966864410248,0.00020564786360737636,0.8421118036080151,0.8418226754863285,0.0011787439146455636
A,A01,DTLZ2_M3,DTLZ2,3,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.053997890468740276,0.054026770881029924,0.0008053986403817534,0.5560191488911712,0.5558980044711905,0.0009231736452051109
A,A01,DTLZ4_M3,DTLZ4,3,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05485127992379785,0.20039104549170117,0.48637276989089884,0.5555402779876087,0.49353407171874175,0.20922644926013645
A,A01,DTLZ7_M3,DTLZ7,3,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.059946185880053376,0.08885952322547193,0.001060123437383216,0.2770637016110551,0.2736372466090126,0.0005720085347357129
A,A01,MaF1_M3,MaF1,3,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.041410702534106086,0.041458679680479546,0.0006612078400940052,0.21894287022542308,0.2190130712942292,0.001196693430829343
A,A01,MaF5_M3,MaF5,3,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.2447410827474282,1.1338078052142297,1.7781711781488783,0.5550084197521599,0.4484249686716558,0.20915083545889024
A,A01,WFG2_M3,WFG2,3,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.1767647049929737,0.17684333662831334,0.004958205316551889,0.9287904908708331,0.9283755094993382,0.001513474011003657
A,A01,WFG4_M2,WFG4,2,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.012816692182447298,0.012850065977745245,0.00034999734217817415,0.3470242596929883,0.34699541284115093,0.0002656233642532313
A,A01,WFG5_M3,WFG5,3,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.22176805705406216,0.2218344941171963,0.0015172305299086808,0.5148196520186399,0.5149124872293019,0.001709539750310518
A,A01,WFG9_M2,WFG9,2,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.016823172705734534,0.017268350983956928,0.0032743128611986364,0.34207578061960897,0.3418355754490368,0.002695085641727546
A,A01,ZDT1_M2,ZDT1,2,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003908463659606451,0.003921116489196111,7.628048629549104e-05,0.7203465684473895,0.720337466846959,0.00011781119760578829
A,A01,ZDT6_M2,ZDT6,2,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.0030704604979597265,0.003077278354933209,2.675443678300726e-05,0.38891330613722636,0.38891066953298065,1.4471617670486214e-05
A,A02,DTLZ1_M3,DTLZ1,3,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.020154221791444257,0.02020368092604251,0.0001835113205489805,0.8423836302412282,0.8417723691144444,0.0008651802191803615
A,A02,DTLZ2_M3,DTLZ2,3,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.053874828752752596,0.05391994720344629,0.0006187666264696051,0.5565945048848537,0.5565037936088486,0.001563229091671836
A,A02,DTLZ4_M3,DTLZ4,3,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05463614489070065,0.20029627590140714,0.48681516072871867,0.5554107492915799,0.4935049763430487,0.2095474740330685
A,A02,DTLZ7_M3,DTLZ7,3,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.06000391559866111,0.07876629997635567,0.0021372391854826076,0.2772494917972737,0.27486831924696786,0.0008924140981261819
A,A02,MaF1_M3,MaF1,3,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.04147681959348624,0.04154116299751612,0.0005996653368402563,0.21932915755692267,0.2191521536289087,0.0007646297760002807
A,A02,MaF5_M3,MaF5,3,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.24698912410086282,1.003233414128295,1.2491002294149303,0.553842786099527,0.4563763630439693,0.20816614842550563
A,A02,WFG2_M3,WFG2,3,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.17671523997283076,0.17601428730335475,0.005704163545470098,0.9290095805223184,0.9288833459144629,0.0024767976490500665
A,A02,WFG4_M2,WFG4,2,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.012836591027686996,0.012855958278891319,0.000211518604277686,0.34699947158770394,0.3469901995961618,0.0001996006465171951
A,A02,WFG5_M3,WFG5,3,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.22162972726696592,0.22192177290769574,0.0028100819434687396,0.5147189809652208,0.5146166070617104,0.0022701261754816127
A,A02,WFG9_M2,WFG9,2,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.017281620804863524,0.017340085459124868,0.002177453561547558,0.34181153082051546,0.3417298630798845,0.001956134449862701
A,A02,ZDT1_M2,ZDT1,2,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003932151273178497,0.003922039749027621,9.392550522006101e-05,0.7203798115365827,0.720361221125201,0.00012738205106799239
A,A02,ZDT6_M2,ZDT6,2,0.05,0.07,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003076055439737664,0.003079796971173546,3.0372780017026094e-05,0.3889141864666067,0.3889100176310345,2.0831147578448395e-05
A,A03,DTLZ1_M3,DTLZ1,3,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.020175489027145395,0.020179061428021446,0.00022716690802683862,0.8420498843881223,0.8417744489767276,0.0011612491166667072
A,A03,DTLZ2_M3,DTLZ2,3,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05409086956492413,0.05410103431874529,0.000894899863178894,0.5562555448935953,0.5561627202159686,0.0014236933267012253
A,A03,DTLZ4_M3,DTLZ4,3,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05462682078749702,0.2622851032047398,0.48692751013561275,0.5554974865654093,0.4642263902930411,0.20926553841942513
A,A03,DTLZ7_M3,DTLZ7,3,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.06078059668540366,0.07975081890286412,0.001773123552492123,0.27695921431229154,0.27472896634556915,0.0011011667881042908
A,A03,MaF1_M3,MaF1,3,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.041401713219159544,0.041389270468577086,0.0008176613024048138,0.2191029228350525,0.2190860869993806,0.0008533557198895092
A,A03,MaF5_M3,MaF5,3,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.24421986086585745,0.8013266509476273,1.248816819916787,0.554771861599457,0.4844923554980736,0.20882401421044133
A,A03,WFG2_M3,WFG2,3,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.17583296800738388,0.17641453001271404,0.010321114883419413,0.9292858437213916,0.9290591314547278,0.002091053527017772
A,A03,WFG4_M2,WFG4,2,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.012869829902416913,0.012900879019984414,0.0001598799678469709,0.346988378066552,0.34700217493851054,0.00014482271058885443
A,A03,WFG5_M3,WFG5,3,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.22133415448801258,0.22181924030530822,0.0021170026551499688,0.51496465713996,0.5144935124692283,0.0020095953728057614
