Phase,ConfigID,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,ProblemCoverage,MeanCombinedRank,MeanNormRankIGD,MeanNormRankHV,MeanIGDMedian,MeanHVMedian,ExpectedProblems,CompleteCoverage
A,A43,0.2,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.2127659574468085,0.21099290780141844,0.21453900709219856,0.07572842802233225,0.5211287059464172,12,True
A,A39,0.2,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3173758865248227,0.3546099290780142,0.2801418439716312,0.07604346093844015,0.5210857852937602,12,True
A,A32,0.15,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.35017730496453897,0.3049645390070922,0.3953900709219858,0.07596896083101491,0.5207223702901776,12,True
A,A44,0.2,0.16,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.35017730496453897,0.3829787234042554,0.3173758865248227,0.07599183436539779,0.521006938528967,12,True
A,A41,0.2,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3608156028368794,0.3652482269503546,0.35638297872340424,0.07646025472591636,0.5207973100553894,12,True
A,A27,0.15,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3661347517730496,0.34751773049645385,0.3847517730496454,0.07594308469663193,0.520760454782503,12,True
A,A34,0.15,0.21,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.36702127659574474,0.4308510638297873,0.3031914893617021,0.07584674087090797,0.5210093010904896,12,True
A,A29,0.15,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.36790780141843976,0.3847517730496454,0.351063829787234,0.07609197553568357,0.5208542645385121,12,True
A,A37,0.2,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3812056737588652,0.3421985815602837,0.4202127659574468,0.07591810146660052,0.5208682305673976,12,True
A,A40,0.2,0.11,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3891843971631206,0.46276595744680854,0.31560283687943264,0.11702746437056356,0.5035828385745705,12,True
A,A46,0.2,0.21,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.3891843971631206,0.4804964539007092,0.2978723404255319,0.07597368402253786,0.5208846118003402,12,True
A,A36,0.15,0.21,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.39095744680851063,0.39184397163120566,0.3900709219858156,0.0758348801258618,0.5208967744061701,12,True
A,A31,0.15,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.39361702127659576,0.351063829787234,0.43617021276595747,0.07582642185523099,0.5207327893979063,12,True
A,A45,0.2,0.16,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.4015957446808511,0.4379432624113475,0.3652482269503546,0.09611547893617979,0.5123067850389277,12,True
