Phase,ConfigID,ProblemTag,ProblemName,M,Run,IGD,HV,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description
A,A01,ZDT1_M2,ZDT1,2,100001,0.003935286518053991,0.72037104009786,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100002,0.00387344301337372,0.7203324746258766,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100003,0.003951155590616157,0.7203182583390704,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100004,0.003959338594539452,0.7202840918078787,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100005,0.0038734161531741463,0.7205011845759254,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100006,0.0039439949833473195,0.7203283721301379,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100007,0.003945346646229651,0.72030818845144,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100008,0.003940688604856101,0.7201565067447451,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100009,0.0038927099275794866,0.7204295154940288,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100010,0.003988613329379409,0.7203447664254916,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100011,0.0038953969442467413,0.7203161795049773,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100012,0.0038754305212527485,0.72046413111085,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100013,0.003917237730551407,0.7202911784263851,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100014,0.0038913408161919314,0.7203105619295546,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100015,0.0038674789591025245,0.7204954375035401,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100016,0.004000271205002089,0.72023819169725,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100017,0.004000350827156692,0.7202417196147748,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100018,0.004036253423905621,0.720369419898445,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100019,0.0038145042694167,0.7204712788531269,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT1_M2,ZDT1,2,100020,0.0038408701647380497,0.7204046217091046,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
